"autor","autorId","autorUrl","comentario","likes","publicado_em","atualizado_em","canReply","isPublic","totalReplyCount","replyCount","replies","video_id","video_titulo","ordenacao_comentario","ordenacao_comentario_nome"
"@JacksonOlivio","UC-hvRbGclAdo-xTfxP2fnYg","http://www.youtube.com/@JacksonOlivio","AVAX, HEDERA, LIDO, ARBITRUM, OPTIMISM","0","2025-12-12T02:27:42Z","2025-12-12T02:27:42Z","True","True","0","0","[]","RxfthobSZb4","URGENTE: FED FAZ ANÚNCIO BILIONÁRIO! CRIPTOMOEDAS VÃO EXPLODIR?","1","Mais novos"
"@fabiosousa2709","UCiCdimTBx7-O6rjALQ1OzFg","http://www.youtube.com/@fabiosousa2709","E a pendle ? Está  descontado?","1","2025-12-12T01:23:03Z","2025-12-12T01:23:03Z","True","True","0","0","[]","RxfthobSZb4","URGENTE: FED FAZ ANÚNCIO BILIONÁRIO! CRIPTOMOEDAS VÃO EXPLODIR?","1","Mais novos"
"@GiselePereiradeSouza-cl9rb","UCERrsJuemWEFeITo1y_StnA","http://www.youtube.com/@GiselePereiradeSouza-cl9rb","Obrigada pelas informações","0","2025-12-12T00:00:04Z","2025-12-12T00:00:04Z","True","True","0","0","[]","RxfthobSZb4","URGENTE: FED FAZ ANÚNCIO BILIONÁRIO! CRIPTOMOEDAS VÃO EXPLODIR?","1","Mais novos"
"@eliezerfaberdelima7409","UC2Iq17kNgCtffjDriSwU1xQ","http://www.youtube.com/@eliezerfaberdelima7409","Boa milionário tmj Deus abençoe gaúcho veio","1","2025-12-11T23:50:43Z","2025-12-11T23:50:43Z","True","True","0","0","[]","RxfthobSZb4","URGENTE: FED FAZ ANÚNCIO BILIONÁRIO! CRIPTOMOEDAS VÃO EXPLODIR?","1","Mais novos"
"@luzimarfreitassousa6889","UCE3qpW8_EANgbmfPQg2q-kA","http://www.youtube.com/@luzimarfreitassousa6889","Eu acredito que sabe, vai a 100k","1","2025-12-11T23:30:18Z","2025-12-11T23:30:18Z","True","True","0","0","[]","RxfthobSZb4","URGENTE: FED FAZ ANÚNCIO BILIONÁRIO! CRIPTOMOEDAS VÃO EXPLODIR?","1","Mais novos"
"@natanielvieira163","UCb6J8LuYt6jtaiggmWeFajA","http://www.youtube.com/@natanielvieira163","enrolou o ano todo e ficou tudo pra   2026 que palhaçada só manipulação 😡","0","2025-12-11T23:10:19Z","2025-12-11T23:10:19Z","True","True","0","0","[]","RxfthobSZb4","URGENTE: FED FAZ ANÚNCIO BILIONÁRIO! CRIPTOMOEDAS VÃO EXPLODIR?","1","Mais novos"
"@HensPeter-e3n","UClIPXGpNXl4-OlFk1rt1rZA","http://www.youtube.com/@HensPeter-e3n","Vídeo excelente e ótima análise 😊😊😊😊 Adoro seus vídeos","7","2025-12-11T23:09:04Z","2025-12-11T23:09:04Z","True","True","17","5","[{'autor': '@BettyJohn-z5n', 'comentario': 'Sim, ótimo vídeo, bom trabalho! 👍👍👍', 'likes': 0, 'publicado_em': '2025-12-11T23:09:55Z'}, {'autor': '@AnaJohnson-u8w', 'comentario': 'Sou iniciante em investimentos em criptomoedas. Você poderia me dizer como obteve lucro?', 'likes': 0, 'publicado_em': '2025-12-11T23:11:38Z'}, {'autor': '@HensPeter-e3n', 'comentario': 'Tenho uma treinadora, ela me orienta há muito tempo.', 'likes': 0, 'publicado_em': '2025-12-11T23:14:01Z'}, {'autor': '@HensPeter-e3n', 'comentario': 'Sei que ela pode te ajudar.', 'likes': 0, 'publicado_em': '2025-12-11T23:14:40Z'}, {'autor': '@HensPeter-e3n', 'comentario': 'A Sra. Lia Carlos é boa.', 'likes': 0, 'publicado_em': '2025-12-11T23:15:18Z'}]","RxfthobSZb4","URGENTE: FED FAZ ANÚNCIO BILIONÁRIO! CRIPTOMOEDAS VÃO EXPLODIR?","1","Mais novos"
"@MilionarioscomCripto","UCrwzOdGS44WtOqNBVLxHaSQ","http://www.youtube.com/@MilionarioscomCripto","💬 FAÇA PARTE DA COMUNIDADE MILIONÁRIOS

🚀 VIP Milionários (Telegram): https://t.me/+_7Xcg0ZLxzwwZjAx
📸 Instagram com conteúdo de valor sobre Cripto: https://www.instagram.com/viniciusmilionarios","1","2025-12-11T23:04:09Z","2025-12-11T23:04:09Z","True","True","0","0","[]","RxfthobSZb4","URGENTE: FED FAZ ANÚNCIO BILIONÁRIO! CRIPTOMOEDAS VÃO EXPLODIR?","1","Mais novos"
"@marcosf3136","UCoG_4ekBXk44-AkFUCfQlXg","http://www.youtube.com/@marcosf3136","Virou uma porcaria esse mercado","1","2025-12-11T16:05:45Z","2025-12-11T16:05:45Z","True","True","0","0","[]","wTGU37byyVs","ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!","1","Mais novos"
"@Cryptocooking-h8j","UCure-u6Cg57B5h7AO7_8_5A","http://www.youtube.com/@Cryptocooking-h8j","A liquidez de 40 bilhoes chega amanhã mas, esse dinheiro é pouco em relação à inflação.","1","2025-12-11T15:35:36Z","2025-12-11T15:35:36Z","True","True","0","0","[]","wTGU37byyVs","ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!","1","Mais novos"
"@sylvionauda8523","UCl_QVJF4JE2xiFBJE4ab1yg","http://www.youtube.com/@sylvionauda8523","ETF DE BTC os cara não entenderam ainda a jogada desses loko essas Instituições vendem e não querem nem saber lucro é no Bolso e depois realocam BTC em compras ETF e sai todos esses boko fazendo Hype  , Varejo que está fraco e viu que essa merda é manipulada compra um pouco e ele vendem na cabeça acordem. Vai e compra agora e vire liquidez para eles. Porra compra essa merda quando derreter mesmo","1","2025-12-11T15:08:40Z","2025-12-11T15:11:14Z","True","True","0","0","[]","wTGU37byyVs","ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!","1","Mais novos"
"@carlaborgesthomaz419","UChza_Njw1LnNMYmEeig6OGw","http://www.youtube.com/@carlaborgesthomaz419","Grande bosta! em 2023 aumentou as taxas em 2024 nao cortou e o mercado subiu mais que 2025 com 3 cortes😂","4","2025-12-11T13:47:58Z","2025-12-11T13:47:58Z","True","True","1","1","[{'autor': '@evanildopimentel2805', 'comentario': 'Muito bem observado!!;', 'likes': 0, 'publicado_em': '2025-12-11T20:47:34Z'}]","wTGU37byyVs","ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!","1","Mais novos"
"@geissimaralmeida3551","UC1mLJ32mWXlnSU7nCZ4VuQQ","http://www.youtube.com/@geissimaralmeida3551","As bolsas já bateram suas altas histórias sem depender muito de liquidez.  Acredito que agora seja a vez do mercado cripto.  Última onda.","2","2025-12-11T13:39:36Z","2025-12-11T13:39:36Z","True","True","0","0","[]","wTGU37byyVs","ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!","1","Mais novos"
"@devalcijoseparesqui6832","UC-VF6OuUiNYNQG6ZYmcAvAA","http://www.youtube.com/@devalcijoseparesqui6832","Bitcoin não depende do governos e corretoras para subir ou cair, foi para isso que ele foi criado.","4","2025-12-11T13:21:22Z","2025-12-11T13:21:22Z","True","True","1","1","[{'autor': '@fernandoraposojr.2444', 'comentario': 'A intenção era esta, mas não está dando muito certo não! Se a maioria dos BTCs estiverem nas mãos destas instituições, nada vai mudar!', 'likes': 2, 'publicado_em': '2025-12-11T14:44:38Z'}]","wTGU37byyVs","ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!","1","Mais novos"
"@Reidascriptos","UCwKx8N_lvkO4pxQrbENJlMw","http://www.youtube.com/@Reidascriptos","Cara você não cansa ? 😂😂😂😂😂","2","2025-12-11T13:08:54Z","2025-12-11T13:08:54Z","True","True","0","0","[]","wTGU37byyVs","ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!","1","Mais novos"
"@JacksonOlivio","UC-hvRbGclAdo-xTfxP2fnYg","http://www.youtube.com/@JacksonOlivio","Nada faz mais esse mercado de criptos seguir alta. Mesmo com um cenário macro de alta , favorável , cortes de juros , fim do QT . Muita manipulação","7","2025-12-11T12:55:59Z","2025-12-11T12:55:59Z","True","True","1","1","[{'autor': '@netoferreira5535', 'comentario': 'Exatamente isso,\nE a cada vez que o BTC é manipulado ,as alticoins vão mais e mais a zero', 'likes': 2, 'publicado_em': '2025-12-11T15:49:23Z'}]","wTGU37byyVs","ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!","1","Mais novos"
"@HensPeter-e3n","UClIPXGpNXl4-OlFk1rt1rZA","http://www.youtube.com/@HensPeter-e3n","Vídeo excelente e ótima análise 😊😊😊😊 Adoro seus vídeos","5","2025-12-11T12:21:36Z","2025-12-11T12:21:36Z","True","True","12","5","[{'autor': '@MarcosAbilo-t8w', 'comentario': 'Sim, os vídeos dele são ótimos. ❤', 'likes': 0, 'publicado_em': '2025-12-11T12:26:25Z'}, {'autor': '@MarcosAbilo-t8w', 'comentario': 'Sou iniciante em investimentos em criptomoedas. Você poderia me dizer como conseguiu lucrar? Tenho acompanhado muitos traders, mas não está dando certo para mim.', 'likes': 0, 'publicado_em': '2025-12-11T12:28:32Z'}, {'autor': '@HensPeter-e3n', 'comentario': 'A Sra. Lia Carlos é boa.', 'likes': 0, 'publicado_em': '2025-12-11T12:29:33Z'}, {'autor': '@HensPeter-e3n', 'comentario': 'Ela é minha treinadora há muito tempo.', 'likes': 0, 'publicado_em': '2025-12-11T12:29:56Z'}, {'autor': '@MAXWELLScott-q6w', 'comentario': '📈📈💯👍', 'likes': 0, 'publicado_em': '2025-12-11T12:31:32Z'}]","wTGU37byyVs","ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!","1","Mais novos"
"@MilionarioscomCripto","UCrwzOdGS44WtOqNBVLxHaSQ","http://www.youtube.com/@MilionarioscomCripto","💬 FAÇA PARTE DA COMUNIDADE MILIONÁRIOS

🚀 VIP Milionários (Telegram): https://t.me/+_7Xcg0ZLxzwwZjAx
📸 Instagram com conteúdo de valor sobre Cripto: https://www.instagram.com/viniciusmilionarios","1","2025-12-11T10:50:32Z","2025-12-11T10:50:32Z","True","True","0","0","[]","wTGU37byyVs","ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!","1","Mais novos"
"@thinkcentre101","UCv2yeMX6CNBCJ45tJ0Yncjg","http://www.youtube.com/@thinkcentre101","11:03 Due date: December, 16th?","0","2025-12-12T01:39:24Z","2025-12-12T01:39:24Z","True","True","0","0","[]","ycsQnvzTPH0","OS PRÓXIMOS MESES DE CRIPTO","1","Mais novos"
"@leandrobarbosarocha7608","UCMh1zvN1GDnYRkbblPuxyQQ","http://www.youtube.com/@leandrobarbosarocha7608","É? 🤡","0","2025-12-12T00:21:48Z","2025-12-12T00:21:48Z","True","True","0","0","[]","ycsQnvzTPH0","OS PRÓXIMOS MESES DE CRIPTO","1","Mais novos"
"@mestreshake3181","UCauY5RFibjEnhwFl5fiYp1g","http://www.youtube.com/@mestreshake3181","Depois que o maldito do CZ e seus comparsas smartmoney quebraram o ciclo de alta na marra, esqueça isso de fundamentos ou do QE do FED","2","2025-12-11T23:52:00Z","2025-12-11T23:52:00Z","True","True","1","1","[{'autor': '@gabrielbearlz', 'comentario': 'Ah é? Acabou?', 'likes': 0, 'publicado_em': '2025-12-12T03:17:09Z'}]","ycsQnvzTPH0","OS PRÓXIMOS MESES DE CRIPTO","1","Mais novos"
"@Robert-e2c1u","UCQZXAKulxW5PR28asYy1sFQ","http://www.youtube.com/@Robert-e2c1u","Tenho sofrido perdas significativas operando de forma independente. Parece que o mercado real pode estar sendo manipulado, já que meu desempenho na conta demo é visivelmente melhor. Agradeceria qualquer ajuda ou orientação sobre o que posso estar fazendo de errado.","18","2025-12-11T23:37:51Z","2025-12-11T23:37:51Z","True","True","17","5","[{'autor': '@Hannahp-u6t', 'comentario': 'Para iniciantes, é essencial ter um especialista indicado por uma corretora para orientá-los em seus investimentos. Eu, particularmente, trabalho com um especialista de renome.', 'likes': 0, 'publicado_em': '2025-12-11T23:39:10Z'}, {'autor': '@Hannahp-u6t', 'comentario': 'A Sra. Layah Heilpern é boa.', 'likes': 0, 'publicado_em': '2025-12-11T23:39:17Z'}, {'autor': '@Harrydale-r5u4z', 'comentario': '€200.000 e ainda negocio com ela. Sinceramente, Layah é exatamente o tipo de pessoa que você precisa na sua vida ❤❤❤', 'likes': 0, 'publicado_em': '2025-12-11T23:39:49Z'}, {'autor': '@dana_y-b8s8q', 'comentario': 'Já ouvi falar muito sobre Layah. Deve ser incrível como as pessoas falam tão bem dela. 🤔', 'likes': 0, 'publicado_em': '2025-12-11T23:40:09Z'}, {'autor': '@Łukasz-l2c', 'comentario': 'Sou novo aqui, como posso contatá-la?', 'likes': 0, 'publicado_em': '2025-12-11T23:41:23Z'}]","ycsQnvzTPH0","OS PRÓXIMOS MESES DE CRIPTO","1","Mais novos"
"@viniciuscruz3640","UCQwQXejWRsti1xFxuxv7CPw","http://www.youtube.com/@viniciuscruz3640","Resumindo.....morno feito água de chuchu com salsicha. Renda fixa tá melhor","0","2025-12-11T23:27:25Z","2025-12-11T23:27:25Z","True","True","1","1","[{'autor': '@gabrielbearlz', 'comentario': 'Me mostra a renda fixa que entrega 500% em 3 anos e eu compro na hora!! Hhahahahaha', 'likes': 0, 'publicado_em': '2025-12-12T03:16:22Z'}]","ycsQnvzTPH0","OS PRÓXIMOS MESES DE CRIPTO","1","Mais novos"
"@CarlosGomes-si7vn","UCwtSeOtGYQ5tDjcKDDSiW6g","http://www.youtube.com/@CarlosGomes-si7vn","Excelente análise.","0","2025-12-11T23:03:11Z","2025-12-11T23:03:11Z","True","True","0","0","[]","ycsQnvzTPH0","OS PRÓXIMOS MESES DE CRIPTO","1","Mais novos"
