autor,comentario,likes,publicado_em,video_id,video_titulo
@StefanLopes_Ghost,"🔥 (Minha comunidade de TRADE) G3 ELITE: bit.ly/g3elite
👉 (Corretora que uso e confio) Abrir conta na Bybit: https://partner.bybit.com/b/ghost",2,2025-12-11T20:11:18Z,Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora)
@Bitcoinhoje99,Estou bastante confuso; o Bitcoin chegará a 94.000 depois de hoje?,0,2025-12-12T03:14:15Z,Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora)
@encomodo326youtubers,Percebi que análises gráficas nesse ano inteiro de 2025 não deu certo,0,2025-12-12T01:50:00Z,Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora)
@mauricioss1990,Gosto muito da sua visão trader. É possível colocar essa tabelinha de RSI no Trading View gratuitamente ou é um indicador pessoal seu?,0,2025-12-12T00:15:02Z,Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora)
@ortizteves,"E quem comprou o gemas do Renato ulianov com as 50 altcoins que farão x 10, 30? 😂😂",2,2025-12-11T22:48:04Z,Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora)
@eroons,Minhas tokens que comprei na NUbank estão afundadas como faz pra fazer trade pra salvar elas?,0,2025-12-11T22:36:28Z,Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora)
@korzuspwr,Nada como o tempo pra amadurecer o investidor. A gente vai criando uma casca grossa contra essas falácias dos influenciadores. Não existe dinheiro fácil.,6,2025-12-11T22:32:47Z,Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora)
@limalima2126,😂😂😂😂 Até que enfim um falando outra língua.,1,2025-12-11T22:18:23Z,Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora)
@clever_v,🚀🚀🚀🚀🚀👻👻👻👻,0,2025-12-11T22:11:08Z,Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora)
@fledsonsc,esse negócio de notícias não vale é mais nada,0,2025-12-11T21:58:36Z,Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora)
