autor,comentario,likes,publicado_em,video_id,video_titulo
@MestBrer,Sou iniciante em investimentos em criptomoedas. Você pode me ajudar? Como você começou?,0,2025-12-05T12:17:57Z,sZRVxLFdtNg,BINANCE x COINBASE: QUAL É A MELHOR? #investimentos #binance #criptomoedas #bitcoin
@C-E-L-I-O,"Lucro se você retirar (vender), né ?",0,2025-10-28T20:04:17Z,sZRVxLFdtNg,BINANCE x COINBASE: QUAL É A MELHOR? #investimentos #binance #criptomoedas #bitcoin
@robertomoraisdesouza814,"Nunca investir em cripto moedas, esse investimento é seguro, e qual melhor indicação de corretora?",0,2025-10-28T12:44:48Z,sZRVxLFdtNg,BINANCE x COINBASE: QUAL É A MELHOR? #investimentos #binance #criptomoedas #bitcoin
@Cintia_learnning,"As taxas da Binance são ridículas, pelo amor de Deus!",0,2025-10-13T17:30:24Z,sZRVxLFdtNg,BINANCE x COINBASE: QUAL É A MELHOR? #investimentos #binance #criptomoedas #bitcoin
@fernandoiglesias757,"Tenho btc na binance, com faço para passar pr outra corretora e não pagar os 15%?",3,2025-10-06T14:42:01Z,sZRVxLFdtNg,BINANCE x COINBASE: QUAL É A MELHOR? #investimentos #binance #criptomoedas #bitcoin
@thinkcentre101,"Se a taxa de 15% de corretora estrangeira é sobre o lucro, então significa que eu posso comprar acima de 5k anual e não declarar caso eu nunca venda?",4,2025-10-04T20:48:17Z,sZRVxLFdtNg,BINANCE x COINBASE: QUAL É A MELHOR? #investimentos #binance #criptomoedas #bitcoin
@maiconguimaraes9487,Investir em cripto pelo Banco Inter vale a pena?,0,2025-08-31T17:56:49Z,sZRVxLFdtNg,BINANCE x COINBASE: QUAL É A MELHOR? #investimentos #binance #criptomoedas #bitcoin
@jezreelalvescantor,Binance. Nao inventa que vc ta sendo patrocinada por essa coinbase cada compda vc paga um absurdo. E o lula raspar duas moedinha kkkkk e quem vai vender 35 mil meu deus do ceu kkkkk. Essa é esperta kkkkk,0,2025-08-27T00:23:44Z,sZRVxLFdtNg,BINANCE x COINBASE: QUAL É A MELHOR? #investimentos #binance #criptomoedas #bitcoin
@osmararaujo5326,"Nada a ver, Binance e mil vezes melhor até hoje nunca vir uma corretora com as taxas tão baixa a Binance é indiscutível é a melhor de todas.",17,2025-08-24T14:35:32Z,sZRVxLFdtNg,BINANCE x COINBASE: QUAL É A MELHOR? #investimentos #binance #criptomoedas #bitcoin
@clebertadeu01,"Coinbase está com muitos problemas de envios de ordem, banco/corretora via PIX. Tive problemas na transferência e até agora não resolveram. Estou transferindo meus satoshis aos poucos para o Biba e depois para a minha carteira. Coinbase acho arriscado, principalmente agora. Antes, na transferência via PIX aparecia o cnpj da EBANX e o processo era super tranquilo e sem erros. Mudaram o parceiro transacional no Brasil e piorou muito. Sem contar que estão dificultando transferência via pix",0,2025-08-23T01:23:25Z,sZRVxLFdtNg,BINANCE x COINBASE: QUAL É A MELHOR? #investimentos #binance #criptomoedas #bitcoin
@nilzabarbosa2010,"Coimbase bem pensar. Ganhei bônus, mas eles me roubaram.",0,2025-12-08T15:52:22Z,UlDLeVKAMcM,Binance ou Coinbase: qual a melhor corretora de criptomoedas para comprar Bitcoin?
@Andre-fs2if,Nubank criou uma moeda a um tempo comprei 50 reais pra ver se subia. A moeda sumiu,0,2025-11-20T05:51:54Z,UlDLeVKAMcM,Binance ou Coinbase: qual a melhor corretora de criptomoedas para comprar Bitcoin?
@lulima1981,"Pra que abrir contas em duas corretoras? Com tantas taxas pra pagar,mal em uma.",0,2025-11-10T12:01:53Z,UlDLeVKAMcM,Binance ou Coinbase: qual a melhor corretora de criptomoedas para comprar Bitcoin?
@HomemAlfa886,"Nossa, que bacana. Estou querendo investir nas cripto, colocar tipo uns 2 ou 3 mil reais e ir sacando só a valorização, tem um colega meu no trabalho que tá fazendo assim e lucrando. Vale a pena será? Sou cliente Nubank comum.",0,2025-11-03T06:33:07Z,UlDLeVKAMcM,Binance ou Coinbase: qual a melhor corretora de criptomoedas para comprar Bitcoin?
@andycarrara12,"Coinbase não é nacional, ela pode estar no Brasil e tudo mais para fins tributarios no caso para Receita Federal ela é considerada estrangeira nao se beneficiando da isenção ou seja voce acaba pagando os 15% na venda,",0,2025-10-16T01:26:17Z,UlDLeVKAMcM,Binance ou Coinbase: qual a melhor corretora de criptomoedas para comprar Bitcoin?
@ThallisPacheco-ml5rg,"A taxa do nubank se diz 0,2 % se movimenta 10 mil só que calculando sempre cobra um pouco mais diz 0,2 mais cobra 0,4 por aí e o preço médio não mostra você tem que anota toda vez que compra mais e boa corretor tem liquidez e criptmoedas e na binance que tem todos tipos e nubank pra intenção coin base muita cara taxa demais e quantyfury pode bloquear você não e confiável",1,2025-10-14T14:54:27Z,UlDLeVKAMcM,Binance ou Coinbase: qual a melhor corretora de criptomoedas para comprar Bitcoin?
@joaopedrochagasdossantos5788,"Nubank tem mais praticidade na hora de comprar e vender,binance é muito complicado",2,2025-09-27T02:57:09Z,UlDLeVKAMcM,Binance ou Coinbase: qual a melhor corretora de criptomoedas para comprar Bitcoin?
@prestacaodeservicoconsulto1297,Onde fica o mercado de bitcoin?,0,2025-09-25T23:09:59Z,UlDLeVKAMcM,Binance ou Coinbase: qual a melhor corretora de criptomoedas para comprar Bitcoin?
@thinkcentre101,1:17 2:45 3:32 3:51 4:34 5:17 5:53 7:46 9:07 10:29 Binance (maior do mundo) Vs. Coinbase (maior do USA): isenção tributária de 35k mensais.,4,2025-09-19T00:02:06Z,UlDLeVKAMcM,Binance ou Coinbase: qual a melhor corretora de criptomoedas para comprar Bitcoin?
@CozinhaNinja,O verdadeiro preço esta na hora de vc tranferir para sua carteira de 100 reias que vc comprar agora vc consegue tranferir 70 reias para sua hard walet entao nao compensa.,3,2025-09-05T23:41:17Z,UlDLeVKAMcM,Binance ou Coinbase: qual a melhor corretora de criptomoedas para comprar Bitcoin?
@maiconsouza3372,Maluco coinbase paga um imposto do caralho e a Binance também prefiro a okx,0,2025-12-09T07:41:58Z,QgR_l8E_q7A,QUAL É A MELHOR CORRETORA PARA COMPRAR CRIPTO? #investimentos #criptomoedas
@mario6814328,Bitcoin foi criado pra vc nao pagar imposto e os nematoides declaram pra pagar imposto.Tem gente que é uma ameba mesmo,0,2025-12-02T20:45:49Z,QgR_l8E_q7A,QUAL É A MELHOR CORRETORA PARA COMPRAR CRIPTO? #investimentos #criptomoedas
@mario6814328,Como tem gente que gosta de ser capacho do governo,0,2025-12-02T20:44:22Z,QgR_l8E_q7A,QUAL É A MELHOR CORRETORA PARA COMPRAR CRIPTO? #investimentos #criptomoedas
@rogerio7156,"Não adianta ter cede no Brasil. Tomei um baita prejuízo. Não consigo sacar, vender, nem converter. Assisto meu dinheiro desvalorizando a cada dia, sem poder fazer nada.
Coinbase nunca mais!",0,2025-11-28T20:39:41Z,QgR_l8E_q7A,QUAL É A MELHOR CORRETORA PARA COMPRAR CRIPTO? #investimentos #criptomoedas
@Dentista-fb,Mas o imposto é só se vc vender por lá correto? Se eu comprar pra vender no longo prazo e fazer a auto custódia eu vendo onde eu quiser.,0,2025-11-27T12:59:04Z,QgR_l8E_q7A,QUAL É A MELHOR CORRETORA PARA COMPRAR CRIPTO? #investimentos #criptomoedas
@ThiagoRiúri,"Isso aí, vão comprando cripto em corretoras do Brasil KKKKKKKKKKKKKK",2,2025-11-24T23:21:53Z,QgR_l8E_q7A,QUAL É A MELHOR CORRETORA PARA COMPRAR CRIPTO? #investimentos #criptomoedas
@leonesoares8939,So paga imposto de cripto quem quer,0,2025-11-12T05:27:27Z,QgR_l8E_q7A,QUAL É A MELHOR CORRETORA PARA COMPRAR CRIPTO? #investimentos #criptomoedas
@Digital-Now-02,Kakakskskks QUEM COMPRA BITICOIN PENSANDO EM NAO FUGIR DE IMPOSTO TA NO VÍDEO CERTO SKSKKS MELHOR COISA KKKK,0,2025-10-28T13:41:23Z,QgR_l8E_q7A,QUAL É A MELHOR CORRETORA PARA COMPRAR CRIPTO? #investimentos #criptomoedas
@felipealves6792,ai e falo muita merda !,0,2025-10-22T20:58:08Z,QgR_l8E_q7A,QUAL É A MELHOR CORRETORA PARA COMPRAR CRIPTO? #investimentos #criptomoedas
