"videoId","titulo","descricao","canal","channelId","channelUrl","publicado_em","views","likes","dislikes","favorites","commentCount","duration","dimension","definition","caption","licensedContent","contentRating","projection","thumbnails","thumbnail_default","thumbnail_medium","thumbnail_high","thumbnail_standard","thumbnail_maxres","tags","categoryId","defaultLanguage","defaultAudioLanguage","liveBroadcastContent","topicIds","topicCategories","recordingDate","locationDescription","actualStartTime","actualEndTime","scheduledStartTime","scheduledEndTime","concurrentViewers","activeLiveChatId","uploadStatus","privacyStatus","license","embeddable","publicStatsViewable","madeForKids","localizations","link"
"trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money","","Pino","UCuFdxAB-aXZRtRv8cA_hN9Q","https://www.youtube.com/channel/UCuFdxAB-aXZRtRv8cA_hN9Q","2025-05-08T20:00:57Z","100609381","668154","0","0","597","PT10S","2d","hd","false","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/trVmDXMaj-M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/trVmDXMaj-M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/trVmDXMaj-M/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/trVmDXMaj-M/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/trVmDXMaj-M/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/trVmDXMaj-M/default.jpg","https://i.ytimg.com/vi/trVmDXMaj-M/mqdefault.jpg","https://i.ytimg.com/vi/trVmDXMaj-M/hqdefault.jpg","https://i.ytimg.com/vi/trVmDXMaj-M/sddefault.jpg","https://i.ytimg.com/vi/trVmDXMaj-M/maxresdefault.jpg","[]","22","en","en","none","[]","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']","","","","","","","","","processed","public","youtube","True","True","False","{'en': {'title': 'Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money', 'description': ''}}","https://www.youtube.com/watch?v=trVmDXMaj-M"
"GztiW6DOhck","Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes","","Binance","UCfYw6dhiwGBJQY_-Jcs8ozw","https://www.youtube.com/channel/UCfYw6dhiwGBJQY_-Jcs8ozw","2024-04-05T20:08:29Z","28764870","1296336","0","0","1246","PT18S","2d","hd","false","False","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/GztiW6DOhck/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GztiW6DOhck/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GztiW6DOhck/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/GztiW6DOhck/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/GztiW6DOhck/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/GztiW6DOhck/default.jpg","https://i.ytimg.com/vi/GztiW6DOhck/mqdefault.jpg","https://i.ytimg.com/vi/GztiW6DOhck/hqdefault.jpg","https://i.ytimg.com/vi/GztiW6DOhck/sddefault.jpg","https://i.ytimg.com/vi/GztiW6DOhck/maxresdefault.jpg","['binance', 'crypto']","23","en","en","none","[]","[]","","","","","","","","","processed","public","youtube","True","True","False","{'en': {'title': 'Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes', 'description': ''}}","https://www.youtube.com/watch?v=GztiW6DOhck"
"rRlyx054z20","DON XHONI - CRYPTO (Prod. by Rzon &amp; Pllumb)","STREAM: https://stmg.app/c/don-xhoni-crypto DON XHONI on Instagram: https://www.instagram.com/don_xhoni/​ Lyrics by Don ...","DON XHONI","UCZNJXsf2I4y54M_UmMiC6Vw","https://www.youtube.com/channel/UCZNJXsf2I4y54M_UmMiC6Vw","2022-03-12T17:00:15Z","24671390","137450","0","0","4461","PT2M37S","2d","hd","true","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/rRlyx054z20/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rRlyx054z20/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rRlyx054z20/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/rRlyx054z20/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/rRlyx054z20/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/rRlyx054z20/default.jpg","https://i.ytimg.com/vi/rRlyx054z20/mqdefault.jpg","https://i.ytimg.com/vi/rRlyx054z20/hqdefault.jpg","https://i.ytimg.com/vi/rRlyx054z20/sddefault.jpg","https://i.ytimg.com/vi/rRlyx054z20/maxresdefault.jpg","[]","24","en","sq","none","[]","['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']","","","2022-03-12T17:00:15Z","2022-03-12T17:04:42Z","2022-03-12T17:00:00Z","","","","processed","public","youtube","True","True","False","{'en': {'title': 'DON XHONI - CRYPTO (Prod. by Rzon & Pllumb)', 'description': 'STREAM: https://stmg.app/c/don-xhoni-crypto\n\nDON XHONI on Instagram: https://www.instagram.com/don_xhoni/\u200b\n\nLyrics by Don Xhoni\nMusic Produced by RZON & Pllumb\nVideo Produced by Sekuencë Studio\nExecutive Producer: Besart Muqolli & Berat Ademi\n\nFalënderojmë: REVOLUTION LOUNGE & BAR\n\nNew Chicago LLC, by Yellowcake, Inc. \nDistributed & Protected By StopTalking Music Group'}}","https://www.youtube.com/watch?v=rRlyx054z20"
"zhPqD19DjYw","First Lambo bought with SOL in Dubai ✅🇦🇪 #lamborghini #crypto #memes #solana #trump #elon #bitcoin","","Elio Tapia 💎👑","UCmC03aCfezl0Cr5od8hn6Mg","https://www.youtube.com/channel/UCmC03aCfezl0Cr5od8hn6Mg","2025-04-09T19:03:31Z","37685364","429092","0","0","641","PT13S","2d","hd","false","False","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/zhPqD19DjYw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zhPqD19DjYw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zhPqD19DjYw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/zhPqD19DjYw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/zhPqD19DjYw/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/zhPqD19DjYw/default.jpg","https://i.ytimg.com/vi/zhPqD19DjYw/mqdefault.jpg","https://i.ytimg.com/vi/zhPqD19DjYw/hqdefault.jpg","https://i.ytimg.com/vi/zhPqD19DjYw/sddefault.jpg","https://i.ytimg.com/vi/zhPqD19DjYw/maxresdefault.jpg","[]","20","en","en","none","[]","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Vehicle']","","Dubai","","","","","","","processed","public","youtube","True","True","False","{'it': {'title': 'La prima Lamborghini acquistata con SOL a Dubai ✅🇦🇪 #lamborghini #crypto #meme #solana #trump #el...', 'description': ''}, 'es-US': {'title': 'Primer Lambo comprado con SOL en Dubai ✅🇦🇪 #lamborghini #crypto #memes #solana #trump #elon #bitcoin', 'description': ''}, 'fr-FR': {'title': 'Première Lambo achetée avec SOL à Dubaï ✅🇦🇪 #lamborghini #crypto #memes #solana #trump #elon #bit...', 'description': ''}, 'en': {'title': 'First Lambo bought with SOL in Dubai ✅🇦🇪 #lamborghini #crypto #memes #solana #trump #elon #bitcoin', 'description': ''}, 'id': {'title': 'Lambo pertama dibeli dengan SOL di Dubai ✅🇦🇪 #lamborghini #crypto #memes #solana #trump #elon #bi...', 'description': ''}, 'pt-BR': {'title': 'Primeiro Lambo comprado com SOL em Dubai ✅🇦🇪 #lamborghini #cripto #memes #solana #trump #elon #bi...', 'description': ''}, 'hi': {'title': 'दुबई में SOL के साथ खरीदी गई पहली लैम्बो ✅🇦🇪 #lamborghini #crypto #memes #solana #trump #elon #bi...', 'description': ''}, 'de-DE': {'title': 'Erster Lambo mit SOL in Dubai gekauft ✅🇦🇪 #lamborghini #crypto #memes #solana #trump #elon #bitcoin', 'description': ''}, 'ja': {'title': 'ドバイでSOLを使って買った最初のランボルギーニ ✅🇦🇪 #ランボルギーニ #暗号 #ミーム #ソラナ #トランプ #イーロン #ビットコイン', 'description': ''}}","https://www.youtube.com/watch?v=zhPqD19DjYw"
"EPQJHNXdJfM","Takeoff, Rich The Kid - Crypto (Official Video)","Watch the official video for Takeoff Feat. Rich The Kid ""Crypto."" Stream // Download ""Crypto"" here: ...","MigosVEVO","UCGIelM2Dj3zza3xyV3pL3WQ","https://www.youtube.com/channel/UCGIelM2Dj3zza3xyV3pL3WQ","2022-03-11T05:00:11Z","16382770","289478","0","0","8611","PT2M41S","2d","hd","true","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/EPQJHNXdJfM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EPQJHNXdJfM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EPQJHNXdJfM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/EPQJHNXdJfM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/EPQJHNXdJfM/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/EPQJHNXdJfM/default.jpg","https://i.ytimg.com/vi/EPQJHNXdJfM/mqdefault.jpg","https://i.ytimg.com/vi/EPQJHNXdJfM/hqdefault.jpg","https://i.ytimg.com/vi/EPQJHNXdJfM/sddefault.jpg","https://i.ytimg.com/vi/EPQJHNXdJfM/maxresdefault.jpg","['Takeoff', 'Rich', 'The', 'Kid', 'Crypto', 'Quality', 'Control', 'Music/Motown', 'Records', 'Hip', 'Hop']","10","en","en","none","[]","['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']","","","2022-03-11T05:00:11Z","2022-03-11T05:04:46Z","2022-03-11T05:00:00Z","","","","processed","public","youtube","True","True","False","{'en': {'title': 'Takeoff, Rich The Kid - Crypto (Official Video)', 'description': 'Watch the official video for Takeoff Feat. Rich The Kid ""Crypto.""\n\nStream // Download ""Crypto"" here: https://QualityControl.lnk.to/Crypto\n\nConnect with Takeoff:\nhttps://www.instagram.com/yrntakeoff/\nhttps://twitter.com/1YoungTakeoff\nhttps://www.tiktok.com/@yrntakeoff\n\nConnect with Rich The Kid:\nhttps://www.instagram.com/richthekid/\nhttps://twitter.com/richthekid\nhttps://www.tiktok.com/@richthekid\n\nMusic video by Takeoff, Rich The Kid performing Crypto. Quality Control Music/Motown Records; © 2022 Quality Control Music, LLC, under exclusive license to UMG Recordings, Inc.\n\nhttp://vevo.ly/XzBH98'}}","https://www.youtube.com/watch?v=EPQJHNXdJfM"
"xue-xbzzWno","A Day in The Life of A Trader #memecoins #crypto #trading","A Day in The Life of A Crypto Trader #memecoins #crypto #trading.","Coinage","UCLaa5cNN89IN0aLfiz5S49A","https://www.youtube.com/channel/UCLaa5cNN89IN0aLfiz5S49A","2024-05-29T16:00:50Z","13036227","425791","0","0","941","PT11S","2d","hd","false","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/xue-xbzzWno/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xue-xbzzWno/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xue-xbzzWno/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xue-xbzzWno/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xue-xbzzWno/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/xue-xbzzWno/default.jpg","https://i.ytimg.com/vi/xue-xbzzWno/mqdefault.jpg","https://i.ytimg.com/vi/xue-xbzzWno/hqdefault.jpg","https://i.ytimg.com/vi/xue-xbzzWno/sddefault.jpg","https://i.ytimg.com/vi/xue-xbzzWno/maxresdefault.jpg","[]","25","en","en-US","none","[]","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']","","","","","","","","","processed","public","youtube","True","True","False","{'ja': {'title': 'トレーダーの一日 #memecoins #crypto #trading', 'description': '暗号トレーダーの一日 #memecoins #crypto #trading'}, 'pa': {'title': 'ਇੱਕ ਵਪਾਰੀ ਦੇ ਜੀਵਨ ਵਿੱਚ ਇੱਕ ਦਿਨ #memecoins #crypto #trading', 'description': 'ਇੱਕ ਕ੍ਰਿਪਟੋ ਵਪਾਰੀ ਦੇ ਜੀਵਨ ਵਿੱਚ ਇੱਕ ਦਿਨ #memecoins #crypto #trading'}, 'ko': {'title': '트레이더의 하루 #memecoins #crypto #trading', 'description': '암호화폐 거래자의 하루 #memecoins #crypto #trading'}, 'nl-NL': {'title': 'Een dag uit het leven van een handelaar #memecoins #crypto #handelen', 'description': 'Een dag uit het leven van een cryptohandelaar #memecoins #crypto #handelen'}, 'pt-BR': {'title': 'Um dia na vida de um trader #memecoins #cripto #negociação', 'description': 'Um dia na vida de um trader de criptomoedas #memecoins #cripto #negociação'}, 'pl': {'title': 'Dzień z życia tradera #memecoins #kryptowaluty #handel', 'description': 'Dzień z życia tradera kryptowalut #memecoins #kryptowaluty #handel'}, 'id': {'title': 'Sehari dalam Kehidupan Seorang Trader #memecoins #crypto #trading', 'description': 'Sehari dalam Kehidupan Seorang Pedagang Kripto #memecoin #kripto #perdagangan'}, 'bn': {'title': 'একজন ব্যবসায়ীর জীবনের একটি দিন #memecoins #crypto #trading', 'description': 'একজন ক্রিপ্টো ট্রেডারের জীবনের একটি দিন #memecoins #crypto #trading'}, 'iw': {'title': 'יום בחייו של סוחר #memecoins #crypto #trading', 'description': 'יום בחייו של סוחר קריפטו #memecoins #crypto #trading'}, 'ml': {'title': 'ഒരു വ്യാപാരിയുടെ ജീവിതത്തിലെ ഒരു ദിവസം #memecoins #crypto #trading', 'description': 'ഒരു ക്രിപ്\u200cറ്റോ വ്യാപാരിയുടെ ജീവിതത്തിലെ ഒരു ദിവസം #memecoins #crypto #trading'}, 'ar': {'title': 'يوم في حياة تاجر #memecoins #crypto #trading', 'description': 'يوم في حياة متداول العملات المشفرة #memecoins #crypto #trading'}, 'fr-FR': {'title': ""Une journée dans la vie d'un trader #memecoins #crypto #trading"", 'description': ""Une journée dans la vie d'un trader de crypto-monnaies #memecoins #crypto #trading""}, 'es-US': {'title': 'Un día en la vida de un trader #memecoins #crypto #trading', 'description': 'Un día en la vida de un comerciante de criptomonedas #memecoins #crypto #trading'}, 'uk': {'title': 'День з життя трейдера #мемкойни #криптовалюта #торгівля', 'description': 'День з життя криптотрейдера #мемкойни #криптовалюта #торгівля'}, 'ru': {'title': 'День из жизни трейдера #memecoins #crypto #trading', 'description': 'День из жизни криптотрейдера #memecoins #crypto #trading'}, 'it': {'title': 'Un giorno nella vita di un trader #memecoins #crypto #trading', 'description': 'Un giorno nella vita di un trader di criptovalute #memecoins #crypto #trading'}, 'ta': {'title': 'ஒரு வர்த்தகரின் வாழ்க்கையில் ஒரு நாள் #memecoins #crypto #trading', 'description': 'ஒரு கிரிப்டோ வர்த்தகரின் வாழ்க்கையில் ஒரு நாள் #memecoins #crypto #trading'}, 'hi': {'title': 'एक व्यापारी के जीवन का एक दिन #memecoins #crypto #trading', 'description': 'एक क्रिप्टो ट्रेडर के जीवन का एक दिन #memecoins #crypto #trading'}, 'de-DE': {'title': 'Ein Tag im Leben eines Händlers #memecoins #crypto #trading', 'description': 'Ein Tag im Leben eines Krypto-Händlers #memecoins #crypto #trading'}, 'en': {'title': 'A Day in The Life of A Trader #memecoins #crypto #trading', 'description': 'A Day in The Life of A Crypto Trader  #memecoins #crypto #trading'}, 'te': {'title': 'ఒక వ్యాపారి జీవితంలో ఒక రోజు #memecoins #crypto #ట్రేడింగ్', 'description': 'క్రిప్టో వ్యాపారి జీవితంలో ఒక రోజు #memecoins #crypto #trading'}}","https://www.youtube.com/watch?v=xue-xbzzWno"
"wN0OaLUYI2I","#crypto #memes #bitcoin #funny #memecoins","","crypto charts","UCQkqVT24Q_PDDguoMebLQzQ","https://www.youtube.com/channel/UCQkqVT24Q_PDDguoMebLQzQ","2025-05-14T21:55:38Z","32205848","213212","0","0","898","PT12S","2d","hd","false","False","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/wN0OaLUYI2I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wN0OaLUYI2I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wN0OaLUYI2I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/wN0OaLUYI2I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/wN0OaLUYI2I/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/wN0OaLUYI2I/default.jpg","https://i.ytimg.com/vi/wN0OaLUYI2I/mqdefault.jpg","https://i.ytimg.com/vi/wN0OaLUYI2I/hqdefault.jpg","https://i.ytimg.com/vi/wN0OaLUYI2I/sddefault.jpg","https://i.ytimg.com/vi/wN0OaLUYI2I/maxresdefault.jpg","[]","27","en","en","none","[]","['https://en.wikipedia.org/wiki/Entertainment']","","","","","","","","","processed","public","youtube","True","True","False","{'en': {'title': '#crypto #memes #bitcoin #funny #memecoins', 'description': ''}}","https://www.youtube.com/watch?v=wN0OaLUYI2I"
"dQ8b4E6vX-4","Esta es Anécdota Real 📈😳#Bitcoin #Cripto #Criptomonedas #Finanzas #FinanzasPersonales","","Andres Garza","UCSUwTmHIP_rlCTZeQW2oiEg","https://www.youtube.com/channel/UCSUwTmHIP_rlCTZeQW2oiEg","2023-03-14T00:13:05Z","11481410","855369","0","0","2066","PT17S","2d","hd","false","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/dQ8b4E6vX-4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dQ8b4E6vX-4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dQ8b4E6vX-4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dQ8b4E6vX-4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dQ8b4E6vX-4/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/dQ8b4E6vX-4/default.jpg","https://i.ytimg.com/vi/dQ8b4E6vX-4/mqdefault.jpg","https://i.ytimg.com/vi/dQ8b4E6vX-4/hqdefault.jpg","https://i.ytimg.com/vi/dQ8b4E6vX-4/sddefault.jpg","https://i.ytimg.com/vi/dQ8b4E6vX-4/maxresdefault.jpg","[]","27","es","es","none","[]","[]","","","","","","","","","processed","public","youtube","True","True","False","{'es': {'title': 'Esta es Anécdota Real 📈😳#Bitcoin #Cripto #Criptomonedas #Finanzas #FinanzasPersonales', 'description': ''}, 'en-US': {'title': 'This is a real anecdote 📈😳 #Bitcoin #Crypto #Cryptocurrencies #Finance #PersonalFinance', 'description': ''}}","https://www.youtube.com/watch?v=dQ8b4E6vX-4"
"QvDNFU8et68","Crypto bros, are you here? #yeti_dyor","","Yeti dyor","UCdaEipK588TVhtz2ddQsCHA","https://www.youtube.com/channel/UCdaEipK588TVhtz2ddQsCHA","2025-07-01T15:21:56Z","24397574","338517","0","0","1174","PT12S","2d","hd","false","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/QvDNFU8et68/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/QvDNFU8et68/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/QvDNFU8et68/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/QvDNFU8et68/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/QvDNFU8et68/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/QvDNFU8et68/default.jpg","https://i.ytimg.com/vi/QvDNFU8et68/mqdefault.jpg","https://i.ytimg.com/vi/QvDNFU8et68/hqdefault.jpg","https://i.ytimg.com/vi/QvDNFU8et68/sddefault.jpg","https://i.ytimg.com/vi/QvDNFU8et68/maxresdefault.jpg","[]","22","en","pt-PT","none","[]","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']","","","","","","","","","processed","public","youtube","True","True","False","{'en': {'title': 'Crypto bros, are you here? #yeti_dyor', 'description': ''}}","https://www.youtube.com/watch?v=QvDNFU8et68"
"mHwNoZ2C8wU","ANDREW TATE SAYS THIS ABOUT CRYPTO FUTURE  #shorts","shorts DONT MISS THE BULLRUN !! & EARN Up to 1000USDC Rewards BINANCE   ✓ Access top crypto markets with the ...","TATE ONLY","UC6NmpbfIMhw7xTe9Bvb4jIw","https://www.youtube.com/channel/UC6NmpbfIMhw7xTe9Bvb4jIw","2022-11-15T01:00:16Z","10716820","319754","0","0","5356","PT34S","2d","hd","false","False","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/mHwNoZ2C8wU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/mHwNoZ2C8wU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/mHwNoZ2C8wU/hqdefault.jpg', 'width': 480, 'height': 360}}","https://i.ytimg.com/vi/mHwNoZ2C8wU/default.jpg","https://i.ytimg.com/vi/mHwNoZ2C8wU/mqdefault.jpg","https://i.ytimg.com/vi/mHwNoZ2C8wU/hqdefault.jpg","","","['andrew tate￼', 'andrew tate interview', 'andrew tate￼ podcast', 'andrew tate highlight', 'andrew tate lifestyle', 'tristan tate', 'tate argument', 'war room tate', 'tate brothers', 'tate confidential', 'cobratate', 'tatespeech', 'entrepreneur network', 'hustlers university', 'what makes you free', 'crypto', 'bitcoin', 'ethereum', 'andrew tate crypto', 'what crypto andrew tate has', 'tate crypto', 'cryptocurrencies', 'andrew tate opinion about altcoins']","22","en","en","none","[]","[]","","","","","","","","","processed","public","youtube","True","True","False","{'en': {'title': 'ANDREW TATE SAYS THIS ABOUT CRYPTO FUTURE  #shorts', 'description': '#shorts \n\n💰DONT MISS THE BULLRUN !! & EARN Up to 1000USDC Rewards  💚 BINANCE💰\n✅ Access top crypto markets with the best liquidity available. \n👁️ Referral code: CPA_00NYABTOIZ\n👏 https://www.binance.com/activity/referral-entry/CPA/together-v4?hl=en&ref=CPA_00NYABTOIZ&utm_source=Lite_web_footer 👏\n\n\nAndrew Tate talks about crypto - bitcoin, ethereum and the community scams that are happeing. Developers create telegram channels and then pump and dump on the first opprotunity to earn on the believers. TOP G doesnt fall for those crypto scams and understands how bitcoin and ethereum and other altcoins work.\n\nCopyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, commenting, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. \n\nNon-profit, educational or personal use tips the balance in favour of fair use For any copyright issues or business inquiries: thetateonly@gmail.com Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.'}}","https://www.youtube.com/watch?v=mHwNoZ2C8wU"
