"videoId","titulo","descricao","canal","channelId","channelUrl","publicado_em","views","likes","commentCount","duration","thumbnails","tags","categoryId","link"
"CYyUbSHSR6M","DJ Damyan x Monkey - Bitcoin kuchek / DJ Дамян и Мънки - Биткойн кючек | Official 2025","All rights reserved | ©️ & ℗ DJ Damyan За участия/Booking: +359 887 610 770 mail: office@djdamyan.com web: ...","DJ Damyan","UClX_o0ZCHKYdWhiudre4HHQ","https://www.youtube.com/channel/UClX_o0ZCHKYdWhiudre4HHQ","2025-02-07T15:00:07Z","9990296","48376","1741","PT3M23S","{'default': {'url': 'https://i.ytimg.com/vi/CYyUbSHSR6M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/CYyUbSHSR6M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/CYyUbSHSR6M/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/CYyUbSHSR6M/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/CYyUbSHSR6M/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['BitcoinKuchek', 'DjDamyan', 'Monkey']","10","https://www.youtube.com/watch?v=CYyUbSHSR6M"
"3aWyRWPBLTk","Most Humble Crypto Billionaire #267","shorts.","Nas Daily","UCJsUvAqDzczYv2UpFmu4PcA","https://www.youtube.com/channel/UCJsUvAqDzczYv2UpFmu4PcA","2022-06-09T15:54:57Z","9360644","576265","3756","PT59S","{'default': {'url': 'https://i.ytimg.com/vi/3aWyRWPBLTk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3aWyRWPBLTk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3aWyRWPBLTk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/3aWyRWPBLTk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/3aWyRWPBLTk/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Nas Daily', 'Nasmeanspeople', '1minute', 'Travel', 'Nuseir Yassin', 'Nas Studio', '英語学習', 'people', 'Nas Academy', 'Lesan.io', 'crypto', 'binance', 'coindesk', 'bitcoin', 'luna']","19","https://www.youtube.com/watch?v=3aWyRWPBLTk"
"hHQl63HuAtU","He Threw Away $800 Million In Bitcoin 😬","","Zack D. Films","UCvz84_Q0BbvZThy75mbd-Dg","https://www.youtube.com/channel/UCvz84_Q0BbvZThy75mbd-Dg","2025-10-18T17:30:12Z","16011585","712588","3966","PT38S","{'default': {'url': 'https://i.ytimg.com/vi/hHQl63HuAtU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hHQl63HuAtU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hHQl63HuAtU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/hHQl63HuAtU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/hHQl63HuAtU/maxresdefault.jpg', 'width': 1280, 'height': 720}}","[]","19","https://www.youtube.com/watch?v=hHQl63HuAtU"
"TGhgfrioBhU","₹6000 Crore Rupees in Online Wallet, But He FORGOT Password! CRAZY Story of Stefan Thomas #shorts","Stefan Thomas, a German-born programmer living in the U.S., made headlines when he forgot the password to a hard drive ...","FactTechz","UCGdPm5Aq081vVD7ih9jZf6Q","https://www.youtube.com/channel/UCGdPm5Aq081vVD7ih9jZf6Q","2025-05-18T22:30:06Z","13281851","470595","1070","PT33S","{'default': {'url': 'https://i.ytimg.com/vi/TGhgfrioBhU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TGhgfrioBhU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TGhgfrioBhU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/TGhgfrioBhU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/TGhgfrioBhU/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['facttechz', 'bitcoin', 'crypto', 'crypto wallet', 'cryptocurrency', 'elon musk', 'online wallet', 'youtube shorts', 'short video', 'fact', 'facts', 'hindi', 'short fact video', 'amazing facts', 'facts in hindi', 'हिंदी', 'वीडियो', 'random facts', 'fun facts', 'interesting facts', 'mobile', 'mobile tower', 'red', 'short hindi video', 'general knowledge', 'gk', 'science', 'knowledge', 'information', 'entertainment', 'infotainement', 'exam questions', 'neet']","27","https://www.youtube.com/watch?v=TGhgfrioBhU"
"D3m-7GNeP6M","They Have Billions of Dollars, But ‘Can’t Show Their Face’ Bitcoin Vs Normal Billionaires! #shorts","Bitcoin billionaires are very different from normal billionaires. They have a lot of money, sometimes even billions, just through ...","FactTechz","UCGdPm5Aq081vVD7ih9jZf6Q","https://www.youtube.com/channel/UCGdPm5Aq081vVD7ih9jZf6Q","2025-07-07T00:30:09Z","10556114","596580","896","PT1M12S","{'default': {'url': 'https://i.ytimg.com/vi/D3m-7GNeP6M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/D3m-7GNeP6M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/D3m-7GNeP6M/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/D3m-7GNeP6M/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/D3m-7GNeP6M/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['facttechz', 'bitcoin', 'crypto', 'digital wallet', 'ehterium', 'money', 'investment', 'fixed deposit', 'youtube shorts', 'short video', 'fact', 'facts', 'hindi', 'short fact video', 'amazing facts', 'facts in hindi', 'हिंदी', 'वीडियो', 'random facts', 'fun facts', 'interesting facts', 'mobile', 'mobile tower', 'red', 'short hindi video', 'general knowledge', 'gk', 'science', 'knowledge', 'information', 'entertainment', 'infotainement', 'exam questions', 'neet']","27","https://www.youtube.com/watch?v=D3m-7GNeP6M"
"zTbXc92cgg4","Viral Moment: 2009 Video of the Man Buying 1 Millionth Bitcoin for $1000!","Crypto Tutorial for Binance: https://www.youtube.com/playlist?list=PLPJ38vz8euDzN13WfIeixXr8cgxFLp7vj Binance Futures ...","Coin Engineer","UCdiaIMEDnupDbk7wF9ZV8Sg","https://www.youtube.com/channel/UCdiaIMEDnupDbk7wF9ZV8Sg","2025-10-21T14:06:08Z","15007420","171804","1596","PT15S","{'default': {'url': 'https://i.ytimg.com/vi/zTbXc92cgg4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zTbXc92cgg4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zTbXc92cgg4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/zTbXc92cgg4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/zTbXc92cgg4/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['bitcoin', 'btc', 'altcoin', 'cryptocurrency', 'ethereum', 'binance', 'coin', 'coinmuhendisi', 'bnb coin', 'avax', 'solana', 'crypto news', 'bitcoin price', 'btc news', 'altcoin news', 'aptos', 'sui', 'coinmarketcap', 'Bitcoin Education', 'blockchain education', 'crypto education', 'coinbase', 'Exchange', 'ICO', 'Tokenomics', 'Airdrop', 'Mining', 'Wallet', 'Stablecoin', 'marketcap', 'Staking', 'Trading Volume', 'Bull Market', 'Bear Market', 'FOMO', 'Satoshi Nakamoto', 'Metaverse', 'Decentralization', 'DeFi', 'bitcoin news', 'crypto analysis', 'bitcoin analysis', 'altcoin buy', 'bitcoin buy']","24","https://www.youtube.com/watch?v=zTbXc92cgg4"
"JNDKNWYTqNs","Bukele invierte el dinero de El Salvador en Bitcoin🪙 | Xokas","Estoy en DIRECTO todas las tardes en: https://www.twitch.tv/elxokas ○SÍGUEME EN: ▻ TWITTER: https://twitter.com/elxokas ...","elxokas SHORTS","UC3Q8KooBkJEJsgbegRbnJdw","https://www.youtube.com/channel/UC3Q8KooBkJEJsgbegRbnJdw","2024-12-19T15:30:11Z","5141843","441982","3860","PT59S","{'default': {'url': 'https://i.ytimg.com/vi/JNDKNWYTqNs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JNDKNWYTqNs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JNDKNWYTqNs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/JNDKNWYTqNs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/JNDKNWYTqNs/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['elxokas', 'directo', 'xokas', 'chokas', 'chocas', 'wow', 'streamer', 'tv', 'xocas', 'elxocas', 'stream', 'twitch', 'canal', 'xokas tv', 'elxokas tv', 'el xokas', 'el xocas', 'xokas tiktok', 'xokas short', 'xokas shorts', 'xocas tiktok', 'tik tok', 'tiktok', 'short', 'shorts', 'clips', 'clip', 'elxokas shorts', 'elxokas short', 'xocas short', 'xocas shorts']","24","https://www.youtube.com/watch?v=JNDKNWYTqNs"
"DrfU1Aa8dK4","Yeti and Troll 🕺🪩 #memecoin #crypto #bitcoin #meme #btc #solana #trading #business #usa #trollface","","Degen Ads","UCDEnuP-Jf7ZnJW3GLm6gnwQ","https://www.youtube.com/channel/UCDEnuP-Jf7ZnJW3GLm6gnwQ","2025-08-04T16:21:24Z","8980161","115517","195","PT23S","{'default': {'url': 'https://i.ytimg.com/vi/DrfU1Aa8dK4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DrfU1Aa8dK4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DrfU1Aa8dK4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/DrfU1Aa8dK4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/DrfU1Aa8dK4/maxresdefault.jpg', 'width': 1280, 'height': 720}}","[]","22","https://www.youtube.com/watch?v=DrfU1Aa8dK4"
"psnfySnzeRo","When will Bitcoin Hit 100k?","","Zach King","UCq8DICunczvLuJJq414110A","https://www.youtube.com/channel/UCq8DICunczvLuJJq414110A","2024-11-21T14:06:09Z","4978982","161609","564","PT29S","{'default': {'url': 'https://i.ytimg.com/vi/psnfySnzeRo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/psnfySnzeRo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/psnfySnzeRo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/psnfySnzeRo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/psnfySnzeRo/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Vine', 'Best of Vine', 'Vine Comedy', 'Funny', 'comedy', 'hilarious', 'cute', 'magic', 'vine magic', 'vine compilation', 'vine fail', 'watch vines', 'vine 2013', 'cool vines', 'special effects vines', 'zachking']","24","https://www.youtube.com/watch?v=psnfySnzeRo"
"ywka38FnqqY","The Tragic Story of Telling your Friends to Buy Bitcoin (2011-2021)","","Radical Living","UCkmGqbPKl9p8qGMTi-h4rgQ","https://www.youtube.com/channel/UCkmGqbPKl9p8qGMTi-h4rgQ","2025-06-30T09:46:36Z","7157407","296198","2602","PT2M58S","{'default': {'url': 'https://i.ytimg.com/vi/ywka38FnqqY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ywka38FnqqY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ywka38FnqqY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ywka38FnqqY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ywka38FnqqY/maxresdefault.jpg', 'width': 1280, 'height': 720}}","[]","24","https://www.youtube.com/watch?v=ywka38FnqqY"
