videoId,titulo,descricao,canal,publicado_em,link
4r5G_EWUGqM,💣 O MERCADO FOI PEGUO NO PULO! POR QUE O BITCOIN DESABOU MESMO COM NOTÍCIAS BOAS?! 😳🔥,LINK PARA CRIAR CONTA NA BINGX: https://bingx.com/partner/criptografico Link para criar conta na hyblockcapital: ...,Criptográfico,2025-12-11T16:16:35Z,https://www.youtube.com/watch?v=4r5G_EWUGqM
dloBqocJ39I,BITCOIN VAI SUBIR EM 2026 APÓS 3º CORTE NA TAXA DE JUROS?,VENHA TRABALHAR NA ALTSIDE: https://www.linkedin.com/jobs/view/4349105418/ CONHEÇA A ALTSIDE: ...,CRIPTOMANIACOS,2025-12-10T23:03:13Z,https://www.youtube.com/watch?v=dloBqocJ39I
guVegq4YIM8,"BITCOIN LIVE : SILVER MANIA CONTINUES! GOLD BREAKOUT, MINERS PUMPING","bitcoin #btc #eth #trading #ethereum Bitcoin (BTC), Gold, Oil, Stocks. Cryptocurrency and Stock Market Technical Analysis and ...",Mitch Ray,2025-12-11T22:27:08Z,https://www.youtube.com/watch?v=guVegq4YIM8
R4dVZbD1ZdI,📉 QUEDA! FED SINALIZA CAUTELA ✋🏼 BITCOIN CORRIGE 📉,"Torne-se membro do canal se você gosta dos conteúdos compartilhados, para ter acesso à uma call fechada por semana e para ...",João Hazim,2025-12-11T11:07:22Z,https://www.youtube.com/watch?v=R4dVZbD1ZdI
HU6nJNbjpZc,URGENTE BITCOIN E ALTCOINS PODEM DISPARAR FED VAI IMPRIMIR DINHEIRO - BITCOIN HOJE 10/12/2025,URGENTE BITCOIN E ALTCOINS PODEM DISPARAR FED VAI IMPRIMIR DINHEIRO - BITCOIN HOJE 10/12/2025 PEÇA ...,Investidor Matuto,2025-12-10T20:51:33Z,https://www.youtube.com/watch?v=HU6nJNbjpZc
BgxhP4RA7o4,"Bitcoin (BTC) - Análise dessa movimentação da BTC hoje às 08:53, 11/12/2025!  #BTC #bitcoin",ASSINE AGORA Altcoins GEMAS Alert !!! - (R$100/mês): https://pay.hotmart.com/Y93614691E COMPRE 'Curso AnáliseTécnica ...,Trade with Renato Ulianov,2025-12-11T11:54:09Z,https://www.youtube.com/watch?v=BgxhP4RA7o4
z3jm073z7Gg,"Michael Saylor: Bitcoin CRASH, MSTR Drop &amp; Fed Rate Cut",BTC #Bitcoin #Cryptocurrency Join Michael Saylor for his unforgettable keynote at the Bitcoin Conference. The leading Bitcoin ...,Danu Innasithamby,2025-12-11T21:07:43Z,https://www.youtube.com/watch?v=z3jm073z7Gg
hkO4zzaAs8k,Michael Saylor: BITCOIN BULL RUN READY TO BE CONFIRMED! BTC PRICE PREDICTION,BTC #Bitcoin #Cryptocurrency Join Michael Saylor for his unforgettable keynote at the Bitcoin Сonference. A visionary Bitcoin ...,FAANA MUSIC,2025-12-11T15:22:17Z,https://www.youtube.com/watch?v=hkO4zzaAs8k
nrXsD5kJYYs,Bitcoin vai Acabar! 😱 #ruyter #ruyterpoubel #criptomoedas #cripto #bitcoin,Comunidade do Ruyter no Discord: discord.gg/ruyter.,Ruyter,2025-07-21T21:51:07Z,https://www.youtube.com/watch?v=nrXsD5kJYYs
BWaykbR0GVo,BITCOIN E AÇÕES EM RISCO PARA 2026?,Se torne membro do canal para aprender a deixar de ser pobre: ...,Augusto Backes,2025-12-10T15:15:45Z,https://www.youtube.com/watch?v=BWaykbR0GVo
