autor,comentario,likes,publicado_em,video_id,video_titulo
@dennytorres,💴 Crie sua conta na BIPA - https://bipa.app/convite/minirig,2,2025-09-29T12:59:29Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@libras410,Eiiiii bipa normal sempre é? Futuro é?? Sem golpe e??,0,2025-11-09T12:18:59Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@danieldelrio5075,A Bipa pode transferir para as outras carteiras?,0,2025-10-28T16:52:56Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@FerTesta,"boa noite denny. Estou com alguns satoshis parados na bipa, Vc poderia me dizer se o saque gratis é confiável ainda. Obrigado.",0,2025-10-27T00:37:48Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@Mironeto,Muito fácil mesmo! Aplicativo é Top!,0,2025-10-20T14:55:18Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@coyguitar2406,"Não indico, o sprad é muito mas muito alto e eles também já estão alinhados ao sistema brasileiro e reportam tudo",0,2025-10-05T20:01:04Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@MarcosLuizPrimeiro,Denny... comecei a usar a Bipa ... botei uns sats... me gerou um limite.... agora paguei a fatura certinho com reais.... mas os meus satoshinhos nao voltara mais para a carteira? fiz algo errado??,2,2025-10-02T21:43:59Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@Bitcoinwallettrezor,Nao comprem btc em plataformas nacionais 🤡🤡 o taxade vai te pegar  👀👀💸💸,5,2025-10-01T14:37:16Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@CarlosCanadas,"Bom dia Denny, eu vi o seu video sobre o PumpSniper Bot e depois retirou, porque?",0,2025-10-01T10:34:07Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@Portal369-Universo.Paralelo,Parabéns pelo seu trabalho Denny. Poderia fazer um vídeo dando sua opinião sobre a GoMining?,0,2025-09-30T02:05:37Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@thiagm,a Bipa usar o sistema Dpix?,0,2025-09-29T23:07:37Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@Jeff-zc5xx,Quero só comprar e enviar pra on chain. Pode dar ruim com a RF? Não declaro Bitica nem a pau …,0,2025-09-29T20:57:29Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@capitao16yt,"Se for para comprar desse jeito 🤔 não seria melhor o picpay  ,já que tem taxa zero a partir de 100 reais?",1,2025-09-29T17:28:11Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@rev4957,Blz Denny. Com apenas um canal aberto na lightning o node consegue fazer pagamentos e recebimentos?,1,2025-09-29T17:12:46Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@Gabrielbrazzo,Satoshi vai ficar caro daqui 10 anos,3,2025-09-29T16:27:40Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
@BernaCripto,"Não sei se foi de propósito, mas o mic redondinho em cima do i do Bipa ficou muito bom kkkkkkkkkkkk",1,2025-09-29T15:19:19Z,YjANVJhS-DM,⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa
