engine,rank,title,link,snippet,displayLink,formattedUrl,htmlTitle,htmlSnippet,regiao,idioma,termo
google,1,"Cotação do Bitcoin | Preço, gráfico e valor do BTC hoje | MB",https://www.mercadobitcoin.com.br/criptomoedas/bitcoin,O preço do Bitcoin é volátil e muda a cada instante com base na negociação global. Você pode acompanhar a cotação atualizada em tempo real na seção de gráficos ...,www.mercadobitcoin.com.br,https://www.mercadobitcoin.com.br/criptomoedas/bitcoin,"Cotação do <b>Bitcoin</b> | Preço, gráfico e valor do BTC hoje | MB",O preço do <b>Bitcoin</b> é volátil e muda a cada instante com base na negociação global. Você pode acompanhar a cotação atualizada em tempo real na seção de gráficos&nbsp;...,br,pt,bitcoin
google,2,"Bitcoin – Wikipédia, a enciclopédia livre",https://pt.wikipedia.org/wiki/Bitcoin,"Bitcoin (símbolo: ₿; abreviado ISO 4217: BTC ou XBT) é uma criptomoeda descentralizada e de código aberto, um dinheiro eletrônico para transações ...",pt.wikipedia.org,https://pt.wikipedia.org/wiki/Bitcoin,"<b>Bitcoin</b> – Wikipédia, a enciclopédia livre","<b>Bitcoin</b> (símbolo: ₿; abreviado ISO 4217: BTC ou XBT) é uma criptomoeda descentralizada e de código aberto, um dinheiro eletrônico para transações&nbsp;...",br,pt,bitcoin
google,3,Mercado Bitcoin: Sua plataforma de investimentos digitais,https://www.mercadobitcoin.com.br/,O MB é a maior plataforma de investimentos em ativos digitais da América Latina e conta com um portfólio amplo para você descomplicar sua vida financeira.,www.mercadobitcoin.com.br,https://www.mercadobitcoin.com.br/,Mercado <b>Bitcoin</b>: Sua plataforma de investimentos digitais,O MB é a maior plataforma de investimentos em ativos digitais da América Latina e conta com um portfólio amplo para você descomplicar sua vida financeira.,br,pt,bitcoin
google,4,BTC USD — Preço e Gráfico do Bitcoin — TradingView,https://br.tradingview.com/symbols/BTCUSD/,"O preço de Bitcoin caiu −3,44% na última semana, seu desempenho mensal mostra uma redução de −14,84%, e, em relação ao ano passado, Bitcoin diminuiu −3,76%.",br.tradingview.com,https://br.tradingview.com/symbols/BTCUSD/,BTC USD — Preço e Gráfico do <b>Bitcoin</b> — TradingView,"O preço de <b>Bitcoin</b> caiu −3,44% na última semana, seu desempenho mensal mostra uma redução de −14,84%, e, em relação ao ano passado, <b>Bitcoin</b> diminuiu −3,76%.",br,pt,bitcoin
google,5,Cotação Bitcoin Hoje e Preço (BTC) - Investing.com,https://br.investing.com/crypto/bitcoin,"O Bitcoin é uma criptomoeda descentralizada baseada em blockchain, sem necessidade de intermediários. A criptografia e o consenso da rede de mineradores que ...",br.investing.com,https://br.investing.com/crypto/bitcoin,Cotação <b>Bitcoin</b> Hoje e Preço (BTC) - Investing.com,"O <b>Bitcoin</b> é uma criptomoeda descentralizada baseada em blockchain, sem necessidade de intermediários. A criptografia e o consenso da rede de mineradores que&nbsp;...",br,pt,bitcoin
google,6,Bitcoin Preço Hoje | BTC para USD Preço Em Tempo Real ...,https://www.binance.com/pt-BR/price/bitcoin,"1 Bitcoin atualmente custa $91164.06, queda de 1.61% nas últimas 24h. Converta BTC para USD com nosso conversor instantâneo de criptomoedas e visualize as ...",www.binance.com,https://www.binance.com/pt-BR/price/bitcoin,<b>Bitcoin</b> Preço Hoje | BTC para USD Preço Em Tempo Real ...,"1 <b>Bitcoin</b> atualmente custa $91164.06, queda de 1.61% nas últimas 24h. Converta BTC para USD com nosso conversor instantâneo de criptomoedas e visualize as&nbsp;...",br,pt,bitcoin
google,7,Bitcoin - Dinheiro P2P de código aberto,https://bitcoin.org/pt_BR/,Bitcoin é uma rede inovadora de pagamento e um novo tipo de moeda. Encontre tudo o que você precisa saber e comece com Bitcoin em bitcoin.org.,bitcoin.org,https://bitcoin.org/pt_BR/,<b>Bitcoin</b> - Dinheiro P2P de código aberto,<b>Bitcoin</b> é uma rede inovadora de pagamento e um novo tipo de moeda. Encontre tudo o que você precisa saber e comece com <b>Bitcoin</b> em <b>bitcoin</b>.org.,br,pt,bitcoin
google,8,Bitcoin: o que é e como funciona essa moeda virtual?,https://blog.nubank.com.br/o-que-e-bitcoin/,"11 de mar. de 2020 ... O bitcoin é uma moeda virtual – a primeira criada no mundo – e pode ser usado para a compra de serviços, produtos e quaisquer outros itens em ...",blog.nubank.com.br,https://blog.nubank.com.br/o-que-e-bitcoin/,<b>Bitcoin</b>: o que é e como funciona essa moeda virtual?,"11 de mar. de 2020 <b>...</b> O <b>bitcoin</b> é uma moeda virtual – a primeira criada no mundo – e pode ser usado para a compra de serviços, produtos e quaisquer outros itens em&nbsp;...",br,pt,bitcoin
google,9,Contrato Futuro de bitcoin tem seu tamanho reduzido em 10 vezes,https://clientes.b3.com.br/w/contrato-futuro-de-bitcoin-tem-seu-tamanho-reduzido-em-10-vezes,"Desde 16 de junho, os investidores podem negociar Futuro de bitcoin com o contrato reduzido em dez vezes na B3. Antes, o contrato representava 10% do valor ...",clientes.b3.com.br,https://clientes.b3.com.br/.../contrato-futuro-de-bitcoin-tem-seu-tamanho-re...,Contrato Futuro de <b>bitcoin</b> tem seu tamanho reduzido em 10 vezes,"Desde 16 de junho, os investidores podem negociar Futuro de <b>bitcoin</b> com o contrato reduzido em dez vezes na B3. Antes, o contrato representava 10% do valor&nbsp;...",br,pt,bitcoin
google,10,"Bitcoin (BTC) Preço, Gráfico, Capitalização de Mercado ...",https://coinmarketcap.com/pt-br/currencies/bitcoin/,O preço de agora de Bitcoin de hoje é de R$500319.22 BRL com um volume de negociação em 24 horas de R$349324103420.02 BRL. Atualizamos nosso preço de BTC ...,coinmarketcap.com,https://coinmarketcap.com/pt-br/currencies/bitcoin/,"<b>Bitcoin</b> (BTC) Preço, Gráfico, Capitalização de Mercado ...",O preço de agora de <b>Bitcoin</b> de hoje é de R$500319.22 BRL com um volume de negociação em 24 horas de R$349324103420.02 BRL. Atualizamos nosso preço de BTC&nbsp;...,br,pt,bitcoin
google,11,Bitcoin hoje: Analistas dizem para onde vai o BTC no restante de 2025,https://portaldobitcoin.uol.com.br/bitcoin-hoje-analistas-dizem-para-onde-vai-o-btc-no-restante-de-2025/,"2 de dez. de 2025 ... Nesta terça-feira (2), o Bitcoin se mantém na faixa de US$ 86.802, com leve ganho de 0,2% ao dia. Em reais, a cotação do ativo está em R$ ...",portaldobitcoin.uol.com.br,https://portaldobitcoin.uol.com.br/bitcoin-hoje-analistas-dizem-para-onde-v...,<b>Bitcoin</b> hoje: Analistas dizem para onde vai o BTC no restante de 2025,"2 de dez. de 2025 <b>...</b> Nesta terça-feira (2), o <b>Bitcoin</b> se mantém na faixa de US$ 86.802, com leve ganho de 0,2% ao dia. Em reais, a cotação do ativo está em R$&nbsp;...",br,pt,bitcoin
google,12,bitcoin bet - Bônus e prêmios todos os dias,http://notafiscal.teresina.pi.gov.br/android/bitcoin-bet/,"bitcoin bet : Uma das principais vantagens da é a ampla variedade de esportes e eventos disponíveis para apostas. Futebol, basquete, tênis, vôlei e muitos ...",notafiscal.teresina.pi.gov.br,http://notafiscal.teresina.pi.gov.br/android/bitcoin-bet/,<b>bitcoin</b> bet - Bônus e prêmios todos os dias,"<b>bitcoin</b> bet : Uma das principais vantagens da é a ampla variedade de esportes e eventos disponíveis para apostas. Futebol, basquete, tênis, vôlei e muitos&nbsp;...",br,pt,bitcoin
google,13,"Bitcoin BTC HOJE - Cotação, Indicadores e Notícias",https://www.infomoney.com.br/cotacoes/cripto/ativo/bitcoin-btc/,"Acompanhe Bitcoin BTC: gráficos, cotações, dividendos, resultados, análises, notícias, fatos relevantes e mais.",www.infomoney.com.br,https://www.infomoney.com.br/cotacoes/cripto/ativo/bitcoin-btc/,"<b>Bitcoin</b> BTC HOJE - Cotação, Indicadores e Notícias","Acompanhe <b>Bitcoin</b> BTC: gráficos, cotações, dividendos, resultados, análises, notícias, fatos relevantes e mais.",br,pt,bitcoin
google,14,"O que é bitcoin, a primeira criptomoeda do mundo - Nexo Jornal",https://www.nexojornal.com.br/index/2024/03/10/o-que-e-bitcoin,10 de mar. de 2024 ... O bitcoin é a primeira e mais famosa criptomoeda do mundo. Ele foi lançado em 2008 por Satoshi Nakamoto — pseudônimo utilizado pelo responsável ...,www.nexojornal.com.br,https://www.nexojornal.com.br/index/2024/03/10/o-que-e-bitcoin,"O que é <b>bitcoin</b>, a primeira criptomoeda do mundo - Nexo Jornal",10 de mar. de 2024 <b>...</b> O <b>bitcoin</b> é a primeira e mais famosa criptomoeda do mundo. Ele foi lançado em 2008 por Satoshi Nakamoto — pseudônimo utilizado pelo responsável&nbsp;...,br,pt,bitcoin
google,15,Aprovado em 1º turno projeto que transforma BH na “Capital do ...,https://www.cmbh.mg.gov.br/comunica%C3%A7%C3%A3o/not%C3%ADcias/2025/05/aprovado-em-1%C2%BA-turno-projeto-que-transforma-bh-na-%E2%80%9Ccapital-do-bitcoin%E2%80%9D,"7 de mai. de 2025 ... Criado em 2008, o bitcoin é a primeira moeda virtual do mundo e independe de instituições financeiras, empresas ou governos para ser ...",www.cmbh.mg.gov.br,https://www.cmbh.mg.gov.br/.../aprovado-em-1º-turno-projeto-que-transfo...,Aprovado em 1º turno projeto que transforma BH na “Capital do ...,"7 de mai. de 2025 <b>...</b> Criado em 2008, o <b>bitcoin</b> é a primeira moeda virtual do mundo e independe de instituições financeiras, empresas ou governos para ser&nbsp;...",br,pt,bitcoin
google,16,preço bitcoin dolar,https://portal.ifba.edu.br/video/202511/pre%C3%A7o%20bitcoin%20dolar,"Bem-vindo ao preço bitcoin dolar, um jogo de terror que vai testar seus limites. Você acorda em uma instalação abandonada, com memórias fragmentadas e um ...",portal.ifba.edu.br,https://portal.ifba.edu.br/video/202511/preço%20bitcoin%20dolar,preço <b>bitcoin</b> dolar,"Bem-vindo ao preço <b>bitcoin</b> dolar, um jogo de terror que vai testar seus limites. Você acorda em uma instalação abandonada, com memórias fragmentadas e um&nbsp;...",br,pt,bitcoin
google,17,Efeito Trump: bitcoin ultrapassa marca de US$ 100 mil pela primeira ...,https://www.cnnbrasil.com.br/economia/macroeconomia/efeito-trump-bitcoin-ultrapassa-marca-de-us-100-mil-pela-primeira-vez-na-historia/,"5 de dez. de 2024 ... O valor subiu para a máxima recorde de US$ 103.619, impulsionado pela indicação de Paul Atkins para dirigir a agência reguladora do mercado ...",www.cnnbrasil.com.br,https://www.cnnbrasil.com.br/.../efeito-trump-bitcoin-ultrapassa-marca-de-u...,Efeito Trump: <b>bitcoin</b> ultrapassa marca de US$ 100 mil pela primeira ...,"5 de dez. de 2024 <b>...</b> O valor subiu para a máxima recorde de US$ 103.619, impulsionado pela indicação de Paul Atkins para dirigir a agência reguladora do mercado&nbsp;...",br,pt,bitcoin
google,18,CVM alerta para atuação irregular do Mercado Bitcoin Serviços ...,https://www.gov.br/cvm/pt-br/assuntos/noticias/2025/cvm-alerta-para-atuacao-irregular-do-mercado-bitcoin-servicos-digitais-ltda-na-intermediacao-de-contratos-de-investimento-coletivo,"11 de mar. de 2025 ... A Autarquia constatou que a empresa, por meio da página www.mercadobitcoin.com.br, oferta e atua na intermediação de oportunidades de ...",www.gov.br,https://www.gov.br/.../cvm-alerta-para-atuacao-irregular-do-mercado-bitcoi...,CVM alerta para atuação irregular do Mercado <b>Bitcoin</b> Serviços ...,"11 de mar. de 2025 <b>...</b> A Autarquia constatou que a empresa, por meio da página www.mercadobitcoin.com.br, oferta e atua na intermediação de oportunidades de&nbsp;...",br,pt,bitcoin
