fonte,tipo,termo,conteudo,relevancia,regiao,cliente,fonte_busca,categoria,data_coleta,valor,url,buscador,posicao,canal,video_id,publicado_em,autor,likes,video_titulo,desenvolvedor,rating,installs,app_id
Google Suggest,sugestao,bitcoin,bitcoin hoje,1251.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dolar,1250.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar,601.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin usd,600.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje usd,560.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje real,559.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin real,558.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cotação,557.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin agora,556.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin price,555.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hj,554.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin valor,553.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin price usd,552.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin grafico,551.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin preço,550.0,br,chrome,web,top,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin agora,1250.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin agora dólar,601.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin agora gráfico,600.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin ao vivo,561.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin atual,560.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
