videoId,titulo,descricao,canal,publicado_em,link
4r5G_EWUGqM,💣 O MERCADO FOI PEGUO NO PULO! POR QUE O BITCOIN DESABOU MESMO COM NOTÍCIAS BOAS?! 😳🔥,LINK PARA CRIAR CONTA NA BINGX: https://bingx.com/partner/criptografico Link para criar conta na hyblockcapital: ...,Criptográfico,2025-12-11T16:16:35Z,https://www.youtube.com/watch?v=4r5G_EWUGqM
dloBqocJ39I,BITCOIN VAI SUBIR EM 2026 APÓS 3º CORTE NA TAXA DE JUROS?,VENHA TRABALHAR NA ALTSIDE: https://www.linkedin.com/jobs/view/4349105418/ CONHEÇA A ALTSIDE: ...,CRIPTOMANIACOS,2025-12-10T23:03:13Z,https://www.youtube.com/watch?v=dloBqocJ39I
R4dVZbD1ZdI,📉 QUEDA! FED SINALIZA CAUTELA ✋🏼 BITCOIN CORRIGE 📉,"Torne-se membro do canal se você gosta dos conteúdos compartilhados, para ter acesso à uma call fechada por semana e para ...",João Hazim,2025-12-11T11:07:22Z,https://www.youtube.com/watch?v=R4dVZbD1ZdI
BgxhP4RA7o4,"Bitcoin (BTC) - Análise dessa movimentação da BTC hoje às 08:53, 11/12/2025!  #BTC #bitcoin",ASSINE AGORA Altcoins GEMAS Alert !!! - (R$100/mês): https://pay.hotmart.com/Y93614691E COMPRE 'Curso AnáliseTécnica ...,Trade with Renato Ulianov,2025-12-11T11:54:09Z,https://www.youtube.com/watch?v=BgxhP4RA7o4
HU6nJNbjpZc,URGENTE BITCOIN E ALTCOINS PODEM DISPARAR FED VAI IMPRIMIR DINHEIRO - BITCOIN HOJE 10/12/2025,URGENTE BITCOIN E ALTCOINS PODEM DISPARAR FED VAI IMPRIMIR DINHEIRO - BITCOIN HOJE 10/12/2025 PEÇA ...,Investidor Matuto,2025-12-10T20:51:33Z,https://www.youtube.com/watch?v=HU6nJNbjpZc
z3jm073z7Gg,"Michael Saylor: Bitcoin CRASH, MSTR Drop &amp; Fed Rate Cut",BTC #Bitcoin #Cryptocurrency Join Michael Saylor for his unforgettable keynote at the Bitcoin Conference. The leading Bitcoin ...,Danu Innasithamby,2025-12-11T21:07:43Z,https://www.youtube.com/watch?v=z3jm073z7Gg
I2-ly-LU4Io,Michael Saylor: BITCOIN CRASH EXPLAINED! MASSIVE BTC DUMP &amp; What&#39;s Next for Crypto?,Bitcoin #BTC #CryptoCrash Michael Saylor returns to break down the shocking Bitcoin crash shaking the crypto markets.,NewTVmd,2025-12-11T23:01:19Z,https://www.youtube.com/watch?v=I2-ly-LU4Io
nrXsD5kJYYs,Bitcoin vai Acabar! 😱 #ruyter #ruyterpoubel #criptomoedas #cripto #bitcoin,Comunidade do Ruyter no Discord: discord.gg/ruyter.,Ruyter,2025-07-21T21:51:07Z,https://www.youtube.com/watch?v=nrXsD5kJYYs
EV_TftnS-dI,Comprando Bitcoin em 1 minuto,,Primo Pobre,2024-07-24T12:11:14Z,https://www.youtube.com/watch?v=EV_TftnS-dI
fi85Cjczxfo,BITCOIN VAI SUBIR PÓS CORTE DE JUROS AMERICANO??,+ Conteúdo Gratuito toda semana no seu e-mail: ...,Investidor 4.20,2025-12-08T20:00:44Z,https://www.youtube.com/watch?v=fi85Cjczxfo
