"author","authorUri","rating","title","content","votes","date","id","version","voteSum"
"fcviana","https://itunes.apple.com/br/reviews/id898193144","5","Avaliação Bitybank","Fácil de usar e bastante completo","0","2025-11-28T04:58:34-07:00","13450493385","2.9.3","0"
"milena_dsm","https://itunes.apple.com/br/reviews/id1365168378","1","Desloga toda hora!","O app fica deslogando toda hora. Instável demais.","0","2024-03-24T19:49:40-07:00","11082522974","2.5.3","0"
"Laysa Correia","https://itunes.apple.com/br/reviews/id1346820869","1","O teclado numerico não abre pra criar a senha de 4 digitos","Aaaaaaaa","0","2024-01-08T17:47:22-07:00","10800637400","2.4.7","0"
"itxToledo","https://itunes.apple.com/br/reviews/id860289592","5","Melhor corretora pra DCA","Bitybank tem o melhor preço","0","2024-01-30T10:45:47-07:00","10881919450","2.4.9","0"
"nandollz","https://itunes.apple.com/br/reviews/id914148889","1","Kickando após login","Logo e em 10s o app me kicka informando sessão invalida. Preciso negociar urgente meus bitcoins e não consigo!","0","2024-02-06T15:12:58-07:00","10910103259","2.4.9","0"
"May98090","https://itunes.apple.com/br/reviews/id1382199119","4","Ajuda","Eu preciso receber um pagamento, e estou precisando do número da carteira bitcoin, alguém pode me ajudar?","0","2024-02-16T07:14:26-07:00","10945340776","2.5.0","0"
"Campinhoo","https://itunes.apple.com/br/reviews/id1511258755","1","Não consigo obter o cartão com meu documento","Não aceitam a documentação conforme a própria legislação brasileira, pedindo carteira de identidade ou CNH somente e não outras formas de identificação (CTPS, CREA, etc.)","0","2024-02-19T11:55:54-07:00","10957417357","2.5.1","0"
"Não sou trouxa$","https://itunes.apple.com/br/reviews/id1526143470","4","Uma pena","A proposta é boa, mas não consigo criar uma conta, pois quando estou cadastrando a senha aparece a mensagem “esse documento já está cadastrado” daí não finaliza a etapa. Lembrando que essa mensagem não tem nexo, e eu não tenho conta.","0","2024-02-28T09:55:09-07:00","10989521675","2.5.2","0"
"Usuária1986","https://itunes.apple.com/br/reviews/id1629980658","3","Precisa melhorar","Não consigo digitar números no app.
Quando preciso inserir algum, o teclado numérico não aparece.
Preciso anotar em outro lugar para copiar e colar.
Já atualizei o app, desinstalei e reinstalei, mas não melhora.","0","2024-02-28T13:04:33-07:00","10990002075","2.5.2","0"
"RebeccaRDantas","https://itunes.apple.com/br/reviews/id464085901","2","Não recebo mensagem SMS com o Token","Não me passou confiança a plataforma, estou esperando o Token ser encaminhado via SMS, após diversas tentativas.","0","2024-03-04T20:41:57-07:00","11009551210","2.5.2","0"
"leolnd","https://itunes.apple.com/br/reviews/id1573323813","1","Problemas login","Não consigo ficar logado no app. Assim que coloco o 2FA o app abre e poucos segundos mexendo ele aparece a mensagem de sessão expirada ou inválida","0","2024-03-11T11:52:28-07:00","11033837805","2.5.2","0"
"RafaelGRG","https://itunes.apple.com/br/reviews/id712405519","4","Disponibilidade de criptos","O app é muito bom de mexer, porém falta muitas criptomoedas ainda, como a AGIX, IMX, FET, STX, WDL, essas não deveriam faltar. Por conta disso, tem que ter outro app para investir nessas.","0","2024-03-13T07:41:04-07:00","11040185301","2.5.3","0"
"lucasgabiatti","https://itunes.apple.com/br/reviews/id1492410415","5","5 estrelas","App estável, intuitivo e com ótima interface de usuário.","0","2024-03-27T06:49:49-07:00","11091237063","2.5.3","0"
"vazaonde","https://itunes.apple.com/br/reviews/id703240894","1","O app não funciona com frequência","Não sei se é coincidência , mas sempre que o bitcoin cai eu não acessar o app. Sempre dá uma mensagem de erro.

Imagina só depende disso numa emergência.","0","2025-11-20T16:42:45-07:00","13422085744","2.9.2","0"
"Gessica_ps","https://itunes.apple.com/br/reviews/id788778571","1","Está péssimo","A cada atualização está pior. Tentei comprar bitcoin hoje e não sei como mais. Antes eu colocava um valor em reais e gerava automaticamente quantos satoshis poderia comprar e pronto, era só finalizar, agora eu tenho que colocar um número, nao finaliza, não sei como proceder mais! Não consigo comprar mais nenhuma cripto moeda por lá! Não sei onde vai pra compra expressa tbm, te direcionam automaticamente pra compra avançada. Resumindo, não estou utilizando, tudo tem que ver um tutorial pra TENTAR entender. Não é dinâmico e objetivo!","0","2024-03-27T08:07:35-07:00","11091486888","2.5.3","0"
"Biiynhaa","https://itunes.apple.com/br/reviews/id908579903","5","Excelente!","Intuitivo. Perfeito para quem quer investir. E nas minhas dúvidas, tive atendimento excelente!","0","2024-04-03T14:09:24-07:00","11118298721","2.5.3","0"
"Alisonsilva47","https://itunes.apple.com/br/reviews/id1311564630","5","Top, é o banco do futuro, to crendo que deve melhorar cada vez mais","Top","0","2024-04-10T07:36:06-07:00","11142638438","2.5.4","0"
"JoãoRaG","https://itunes.apple.com/br/reviews/id1281907844","1","NÃO BAIXEM","Horrível, efetuei um depósito via pix conforme o indicado pelo aplicativo e não caiu na minha conta , e fui atrás do suporte e não tive resposta alguma!","0","2024-05-04T14:21:55-07:00","11232582060","2.5.5","0"
