"author","authorUri","rating","title","content","votes","date","id","version","voteSum"
"$eckomaru","https://itunes.apple.com/br/reviews/id605413593","1","Nao consigo acessar","Tenho conta mas não consigo logar, não chega nem SMS nem email de confirmação… como consigo acessar a conta deste modo?","0","2025-11-17T13:53:30-07:00","13410517434","4.1.13","0"
"ErickTIF","https://itunes.apple.com/br/reviews/id541022670","2","Não está abrindo","O App tá travando na hora de fazer reconhecimento facial mesmo com as permissões de câmera ativa.","0","2025-11-15T06:17:06-07:00","13400995116","4.1.13","0"
"Obriga a avaliar antes de usar","https://itunes.apple.com/br/reviews/id415698060","5","Extremamente prática","App muito fácil de usar. Oferece transferências gratuitas e compra recorrente com valor baixos.","0","2025-11-14T03:51:36-07:00","13396315804","4.1.13","0"
"estenio1987","https://itunes.apple.com/br/reviews/id1372410550","2","Não tá abrindo","Meu iPhone é 15, versão 26, o aplicativo tá fechando quando tento abrir e não abre de jeito nenhum","0","2025-11-05T16:01:10-07:00","13361538747","4.1.11","0"
"Jones Manoel1","https://itunes.apple.com/br/reviews/id1799337037","1","Nao abre","Nao esta abrindo de jeito nenhum - 03/11/2025","0","2025-11-03T11:49:26-07:00","13352489097","4.1.11","0"
"Mbeillo","https://itunes.apple.com/br/reviews/id259323882","4","Compra recorrente","Sugestão de alterar o valor da compra recorrente sem a cobrança da taxa.","0","2025-11-01T09:43:30-07:00","13343039115","4.1.11","0"
"iramons","https://itunes.apple.com/br/reviews/id1083098521","5","Melhor App de Bitcoin e USDT","Facilidade na hora de comprar e vender Bitcoin/Usdt, já usei vários apps de cripto, mas nenhum deles foi tão prático e confiável como o da Bipa, além disso, cartão de crédito com cashback em Bitcoin, é surreal! Parabéns e obrigado 😁","1","2025-10-16T09:12:05-07:00","13274458798","4.1.6","1"
"Rolo1234567890","https://itunes.apple.com/br/reviews/id1483047145","5","Top","Top","0","2025-10-07T08:31:11-07:00","13236132786","4.1.3","0"
"Marcos Pollo 654","https://itunes.apple.com/br/reviews/id1390662555","5","Sem dúvidas é a melhor opção.","Foi a melhor coisa que fiz na vida, consigo comprar na baixa e vender na alta estou criando minha movimentação aos poucos pra quando tiver mais dinheiro pra comprar e guardar em auto custódia já estar familiarizado.","0","2025-10-02T16:54:30-07:00","13215777635","4.1.3","0"
"Afonsoh","https://itunes.apple.com/br/reviews/id114439029","1","Experiência decepcionante!!!","Depois de testar a Bipa por algumas semanas e tendo alguns aborrecimentos desisti. Nunca consegui fazer o saque grátis tão divulgado, mesmo tendo 4x mais recursos em BTC do que o mínimo exigido e ter que arcar com os elevados Spread da Bipa. O suporte é sofrível, não resolve nada e tudo dizem que responderão em 3 a 5 dias úteis.
Me aborreci, saquei meus recursos, mesmo pagando caro pelo saque, já que o saque grátis é Fake e agora estou tentando verificar como encerrar minha conta.
Não recomendo, existem outras opções bem mais baratas e melhores.","0","2025-09-28T08:52:09-07:00","13196658547","4.1.1","0"
