videoId,titulo,descricao,canal,publicado_em,link
RxfthobSZb4,URGENTE: FED FAZ ANÚNCIO BILIONÁRIO! CRIPTOMOEDAS VÃO EXPLODIR?,FAÇA PARTE DA COMUNIDADE MILIONÁRIOS VIP Milionários (Telegram): https://t.me/+_7Xcg0ZLxzwwZjAx Instagram ...,Milionários com Cripto,2025-12-11T23:03:54Z,https://www.youtube.com/watch?v=RxfthobSZb4
wTGU37byyVs,"ISSO CHOCOU O MERCADO: FED ALIVIA JUROS, MAS CRIPTOS DESPENCAM!",FAÇA PARTE DA COMUNIDADE MILIONÁRIOS VIP Milionários (Telegram): https://t.me/+_7Xcg0ZLxzwwZjAx Instagram ...,Milionários com Cripto,2025-12-11T12:00:06Z,https://www.youtube.com/watch?v=wTGU37byyVs
ycsQnvzTPH0,OS PRÓXIMOS MESES DE CRIPTO,Os próximos meses do mercado cripto. Me chame para entrar na Black Friday https://rebrand.ly/black-friday-bearlz Já deixe ...,Gabriel Bearlz,2025-12-11T22:26:55Z,https://www.youtube.com/watch?v=ycsQnvzTPH0
fi85Cjczxfo,BITCOIN VAI SUBIR PÓS CORTE DE JUROS AMERICANO??,+ Conteúdo Gratuito toda semana no seu e-mail: ...,Investidor 4.20,2025-12-08T20:00:44Z,https://www.youtube.com/watch?v=fi85Cjczxfo
ewmZbpda0WY,O Sinal Mais Forte do Ciclo Apareceu e Ninguém Está Falando Disso! - Bitcoin HOJE,Algo muito grande está prestes a acontecer no mercado cripto… e quase ninguém está percebendo. Enquanto o medo domina e ...,Crypto Minuto - Notícias cripto,2025-12-09T15:05:06Z,https://www.youtube.com/watch?v=ewmZbpda0WY
Scojw2us9jQ,QUAIS AS MELHORES CRIPTOMOEDAS PARA COMEÇAR A INVESTIR? - PRIMO POBRE #investimentos #criptomoedas,Primo Pobre fala sobre as melhores criptomoedas para começar no mundo cripto. #criptomoedas #bitcoin #investimentos ...,Segredos de Valor,2025-01-06T23:14:21Z,https://www.youtube.com/watch?v=Scojw2us9jQ
81PC3PYSVBA,🚨 &quot;Comprei Bitcoin em 2010&quot; #bitcoin #btc #criptoativos #cripto #ethereum,"""Comprei Bitcoin em 2010"" #bitcoin #btc #criptoativos #cripto #ethereum.",BlockTrends,2024-05-14T22:30:03Z,https://www.youtube.com/watch?v=81PC3PYSVBA
3Eay_-PXCg4,OS GRANDES INVESTIDORES JÁ SABEM DISSO,"Os grandes investidores já sabem disso há muito tempo: o segredo não está apenas em qual cripto comprar, mas em como ler o ...",Orlando on Crypto,2025-12-08T21:52:56Z,https://www.youtube.com/watch?v=3Eay_-PXCg4
u5Rc8Vr8OX4,"🚨Como será o fim das criptomoedas, de acordo com Os Simpsons #Bitcoin #Crypto #Simpsons #BTC",,BlockTrends,2024-04-12T14:20:38Z,https://www.youtube.com/watch?v=u5Rc8Vr8OX4
nrXsD5kJYYs,Bitcoin vai Acabar! 😱 #ruyter #ruyterpoubel #criptomoedas #cripto #bitcoin,Comunidade do Ruyter no Discord: discord.gg/ruyter.,Ruyter,2025-07-21T21:51:07Z,https://www.youtube.com/watch?v=nrXsD5kJYYs
