"autor","autorId","autorUrl","comentario","likes","publicado_em","atualizado_em","canReply","isPublic","totalReplyCount","replyCount","replies","video_id","video_titulo","ordenacao_comentario","ordenacao_comentario_nome"
"@libras410","UC7Wb46nGv8Z7VzDxLQRFzWA","http://www.youtube.com/@libras410","Eiiiii bipa normal sempre é? Futuro é?? Sem golpe e??","0","2025-11-09T12:18:59Z","2025-11-09T12:18:59Z","True","True","4","4","[{'autor': '@dennytorres', 'comentario': 'Desculpe, mas não entendi a pergunta', 'likes': 0, 'publicado_em': '2025-11-09T15:45:58Z'}, {'autor': '@libras410', 'comentario': '@dennytorreseu sou surdo mudo de libras. Desculpa mano', 'likes': 0, 'publicado_em': '2025-11-09T16:11:28Z'}, {'autor': '@libras410', 'comentario': '\u2060@dennytorresWhatsApp pode ser?', 'likes': 0, 'publicado_em': '2025-11-09T16:11:46Z'}, {'autor': '@dennytorres', 'comentario': 'Sem problemas\nSe tiver alguma dúvida é só me avisar 👍', 'likes': 0, 'publicado_em': '2025-11-10T21:57:59Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@danieldelrio5075","UCCWZT0U5dYSH8Ot2MbZhEHg","http://www.youtube.com/@danieldelrio5075","A Bipa pode transferir para as outras carteiras?","0","2025-10-28T16:52:56Z","2025-10-28T16:52:56Z","True","True","1","1","[{'autor': '@dennytorres', 'comentario': 'Pode sim.\nCarteiras que aceitam Bitcoin 👍', 'likes': 0, 'publicado_em': '2025-10-29T00:16:43Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@FerTesta","UCfSsr7YHcac6QhEm9tyrvJA","http://www.youtube.com/@FerTesta","boa noite denny. Estou com alguns satoshis parados na bipa, Vc poderia me dizer se o saque gratis é confiável ainda. Obrigado.","0","2025-10-27T00:37:48Z","2025-10-27T00:37:48Z","True","True","2","2","[{'autor': '@dennytorres', 'comentario': 'É confiável sim\nMas tem uma quantidade mínima para uso do recurso', 'likes': 0, 'publicado_em': '2025-10-27T01:29:02Z'}, {'autor': '@FerTesta', 'comentario': '\u200b@dennytorresobrigado novamente denny.', 'likes': 0, 'publicado_em': '2025-10-27T01:38:01Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@Mironeto","UC8PX88_LPTtFl7Hbg8w3KJw","http://www.youtube.com/@Mironeto","Muito fácil mesmo! Aplicativo é Top!","0","2025-10-20T14:55:18Z","2025-10-20T14:55:18Z","True","True","0","0","[]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@MarcosLuizPrimeiro","UCiroJ6iGwjYXsdCzBu4XKmQ","http://www.youtube.com/@MarcosLuizPrimeiro","Denny... comecei a usar a Bipa ... botei uns sats... me gerou um limite.... agora paguei a fatura certinho com reais.... mas os meus satoshinhos nao voltara mais para a carteira? fiz algo errado??","2","2025-10-02T21:43:59Z","2025-10-02T21:43:59Z","True","True","1","1","[{'autor': '@dennytorres', 'comentario': 'Dá uma olhada aqui:\nhttps://suporte.bipa.app/hc/pt-br/articles/35069211969179-Como-funciona-o-Cart%C3%A3o-Bipa-Respostas-para-perguntas-frequentes\n¨Com o Cartão Bipa você pode fazer compras usando o seu saldo em Bitcoin ou USDT! Você pode ativar ou desativar essa função nas configurações de limite do seu cartão. Quando a função “Usar saldo como limite” está habilitada, seu saldo em Bitcoin ou USDT será automaticamente vendido para cobrir gastos no cartão. \nA maioria dos clientes, no entanto, prefere deixar a função ""Usar saldo como limite"" desativada para não vender os ativos. ¨', 'likes': 0, 'publicado_em': '2025-10-02T23:01:26Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@Bitcoinwallettrezor","UCaTZvcomWPlkFerxpkd645w","http://www.youtube.com/@Bitcoinwallettrezor","Nao comprem btc em plataformas nacionais 🤡🤡 o taxade vai te pegar  👀👀💸💸","5","2025-10-01T14:37:16Z","2025-10-01T14:37:35Z","True","True","0","0","[]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@Portal369-Universo.Paralelo","UCI4DfAsYjiEOm_oUmHLnk0A","http://www.youtube.com/@Portal369-Universo.Paralelo","Parabéns pelo seu trabalho Denny. Poderia fazer um vídeo dando sua opinião sobre a GoMining?","0","2025-09-30T02:05:37Z","2025-09-30T02:05:37Z","True","True","1","1","[{'autor': '@dennytorres', 'comentario': 'Não conheço, mas se for algum tipo de mineração em nuvem recomendo dar uma olhada no vídeo que eu falo sobre esse tipo de promoções.', 'likes': 0, 'publicado_em': '2025-09-30T11:27:35Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@thiagm","UCYFKsPm4029koPneOOAfKQw","http://www.youtube.com/@thiagm","a Bipa usar o sistema Dpix?","0","2025-09-29T23:07:37Z","2025-09-29T23:07:37Z","True","True","1","1","[{'autor': '@dennytorres', 'comentario': 'Ainda não.', 'likes': 0, 'publicado_em': '2025-09-30T00:40:25Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@Jeff-zc5xx","UC8mYu5jPARW3YcbzyTq-aKQ","http://www.youtube.com/@Jeff-zc5xx","Quero só comprar e enviar pra on chain. Pode dar ruim com a RF? Não declaro Bitica nem a pau …","0","2025-09-29T20:57:29Z","2025-09-29T20:57:29Z","True","True","0","0","[]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@capitao16yt","UCQM7K82Xhkcy_Sba2-vTcVQ","http://www.youtube.com/@capitao16yt","Se for para comprar desse jeito 🤔 não seria melhor o picpay  ,já que tem taxa zero a partir de 100 reais?","1","2025-09-29T17:28:11Z","2025-09-29T17:28:11Z","True","True","4","4","[{'autor': '@dennytorres', 'comentario': 'Existem muitas ferramentas atualmente. \nCada um deve usar aquela que se identifica mais.', 'likes': 1, 'publicado_em': '2025-09-29T17:35:29Z'}, {'autor': '@cassiof4957', 'comentario': '@capitao16yt no caso desse video o melhor  é a bipa, pois é ela qiem está patrocinando...', 'likes': 0, 'publicado_em': '2025-09-30T02:42:07Z'}, {'autor': '@dennytorres', 'comentario': 'Para mim O MELHOR é minerar, pois é 100% anônimo. \nMas não é para todo mundo. Eu sei disso\nMas a Bipa é uma das mais fáceis para quem quer começar. \nCertamente você já tem conhecimento avançado em cripto. Possivelmente você prefere outra ferramenta.', 'likes': 2, 'publicado_em': '2025-09-30T13:58:57Z'}, {'autor': '@cassiof4957', 'comentario': '@dennytorres certamente...', 'likes': 1, 'publicado_em': '2025-09-30T14:12:10Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
