rank,title,link,video_id,channel,channel_id,published,description,views,likes,dislikes,comments,favorites,duration,definition,caption,tags,category_id,default_language,default_audio_language,live_broadcast_content,thumbnail_default,thumbnail_high,thumbnail_maxres,channel_custom_url,channel_description,regiao,idioma,termo,order
1,POV: GATOS 😺😹 | Parte 15,https://www.youtube.com/watch?v=IFMHxeTJrSc,IFMHxeTJrSc,Bicho Replay,UCB5jjp_HE0zQBHdX0e7Fmdw,2025-08-29T23:00:20Z,"Gatos engraçados em segundos! 🐱💥 Veja esses momentos curtos, caóticos e fofos que só um gato aprontando pode oferecer. Rápido, divertido e impossível de assistir só uma vez!

Segue o Bicho Replay pra mais tops felinos toda semana!

#ShortsDeGatos #BichoReplay #GatoEngraçado",202930,6371,0,18,0,PT31S,hd,false,"Tente não rir, Pov gatos, Vídeos de gatos, Gatos, Gatos engraçados, Tente não rir gatos, Gatinhos fofos, Pets engraçados, Vídeos de gatos engraçados, Jazz ghost",22,pt-PT,pt-BR,none,https://i.ytimg.com/vi/IFMHxeTJrSc/default.jpg,https://i.ytimg.com/vi/IFMHxeTJrSc/hqdefault.jpg,https://i.ytimg.com/vi/IFMHxeTJrSc/maxresdefault.jpg,,,br,pt,gato,relevance
2,O Gato Não GOSTAVA do Filho! #curiosidades #incrível #animal #gatos,https://www.youtube.com/watch?v=T4E73QtZcXg,T4E73QtZcXg,Mister Bigode,UCh_83AkqL5DhEa3NEqj5ANw,2025-09-23T22:36:00Z,"⛔️ Se utilizamos seu conteúdo, por favor entre em contato conosco através do e-mail (contato.mrbigode@hotmail.com) para que possamos remover o vídeo dentro das próximas 24 horas. ⛔

⛔ If we use your content, please contact us via email (contato.mrbigode@hotmail.com) so that we can remove the video within the next 24 hours. ⛔

Cred: 团子麻麻的 On YT",452194,14040,0,94,0,PT29S,hd,false,,22,pt-PT,pt-PT,none,https://i.ytimg.com/vi/T4E73QtZcXg/default.jpg,https://i.ytimg.com/vi/T4E73QtZcXg/hqdefault.jpg,https://i.ytimg.com/vi/T4E73QtZcXg/maxresdefault.jpg,,,br,pt,gato,relevance
3,Muito fofos! 😱 #shorts #gatos #gatinhos #filhotes #fofos #pets,https://www.youtube.com/watch?v=iiCemZxxopU,iiCemZxxopU,Animal Comparado,UC19w4MpO0uqJ605-XP4shWA,2023-11-23T19:12:31Z,,8809399,90370,0,1394,0,PT11S,hd,false,,24,pt-PT,pt-PT,none,https://i.ytimg.com/vi/iiCemZxxopU/default.jpg,https://i.ytimg.com/vi/iiCemZxxopU/hqdefault.jpg,https://i.ytimg.com/vi/iiCemZxxopU/maxresdefault.jpg,,,br,pt,gato,relevance
4,CRESCIMENTO EM 30 DIAS DE UM GATINHO RECÉM NASCIDO 🐱 #gatos #gato #gatosfofos #gatinho #gatinhos,https://www.youtube.com/watch?v=RnydBkAvsoc,RnydBkAvsoc,Will Pitbull,UCdLYQRO3FsBwF7bJHxIaAlg,2024-11-11T14:00:25Z,,566300,50521,0,987,0,PT1M1S,hd,false,,22,pt-BR,pt-BR,none,https://i.ytimg.com/vi/RnydBkAvsoc/default.jpg,https://i.ytimg.com/vi/RnydBkAvsoc/hqdefault.jpg,https://i.ytimg.com/vi/RnydBkAvsoc/maxresdefault.jpg,,,br,pt,gato,relevance
5,EU DISSE A VERDADE PARA OS MEUS GATOS #shortssprintbrasil,https://www.youtube.com/watch?v=bebx5XjCd7w,bebx5XjCd7w,JansenGato,UCKWyJk1vFRV_uRh7ai_SdXw,2023-03-09T16:00:01Z,,21212392,1161755,0,11319,0,PT20S,hd,false,,24,pt-PT,en,none,https://i.ytimg.com/vi/bebx5XjCd7w/default.jpg,https://i.ytimg.com/vi/bebx5XjCd7w/hqdefault.jpg,https://i.ytimg.com/vi/bebx5XjCd7w/maxresdefault.jpg,,,br,pt,gato,relevance
6,Gato poe leao para correr,https://www.youtube.com/watch?v=nGu6CQ2C81s,nGu6CQ2C81s,AnimaisFolgados,UCV7SmTDdTpWSJ_bmnya_Rjg,2025-10-13T12:04:11Z,"Vídeo engraçado em que um pequeno gato doméstico, com sua coragem, assusta um leão. O gato mostra os dentes e o leão corre com medo.",27287858,153222,0,766,0,PT11S,hd,false,"gato, leao, felinos, animais selvagens, animais, assustado, medo",22,pt-PT,pt-PT,none,https://i.ytimg.com/vi/nGu6CQ2C81s/default.jpg,https://i.ytimg.com/vi/nGu6CQ2C81s/hqdefault.jpg,https://i.ytimg.com/vi/nGu6CQ2C81s/maxresdefault.jpg,,,br,pt,gato,relevance
7,Atirei o pau no gato - Galinha Pintadinha 2 - OFICIAL,https://www.youtube.com/watch?v=0hhz7KSEIAE,0hhz7KSEIAE,Galinha Pintadinha,UCBAb_DK4GYZqZR9MFA7y2Xg,2010-09-17T11:46:51Z,"Ouça em:
Spotify: https://open.spotify.com/artist/070CnHC2iZh5oLpyWYPf8h
Amazon Music: https://amzn.to/GalinhaPintadinha 
Apple Music: https://music.apple.com/br/artist/galinha-pintadinha/450813851
Deezer: https://www.deezer.com/br/artist/1385868
YouTube Music: https://music.youtube.com/channel/UCzbroYP8Yxe0CF5sYPn-mlQ

Assista em:
Netflix: https://www.netflix.com/br/title/70231705
Max: https://www.max.com/br/pt/shows/galinha-pintadinha/32902d03-a458-409c-a2f1-88c50ed7dd6b
Globoplay: https://globoplay.globo.com/categorias/infantil-galinha-pintadinha/
Prime Video: https://www.primevideo.com/detail/Galinha-Pintadinha/0PDP61KBZ5A3WI0OREOFE8EEUU

Baixe o App da Galinha: https://go.01-d.com/AppGalinhaPintadinha 
Instagram: https://www.instagram.com/galinhapintadinha_oficial/
TikTok: https://www.tiktok.com/@galinha.oficial
Site Oficial: http://www.galinhapintadinha.com.br
Loja Oficial: https://www.amazon.com.br/stores/page/E5A68192-CCA4-4354-8B99-AC91B950790E

© Bromelia Produções #GalinhaPintadinha",870660763,1680429,0,0,0,PT1M49S,hd,false,"atirei, pau, gato, infantil, juptube, musica infantil, desenho animado, clipes musicais, educativo, mundo bita, galinha pintadinha completo, clipe infantil, animais, tv tubinho, pintinho amarelinho, upa cavalinho, bolofofos, palavra cantada, funk do pão de queijo, papagaio louro",1,pt,pt,none,https://i.ytimg.com/vi/0hhz7KSEIAE/default.jpg,https://i.ytimg.com/vi/0hhz7KSEIAE/hqdefault.jpg,https://i.ytimg.com/vi/0hhz7KSEIAE/maxresdefault.jpg,,,br,pt,gato,relevance
8,GATINHO FOFOS #gatos #fofinho #fofo #gatinhos #engraçado CREDITS: @alwxhoshi,https://www.youtube.com/watch?v=vaKH3j-76RY,vaKH3j-76RY,Marcos Natu,UCcL2BX3Bm1p7ltBI6i3ARig,2023-12-20T20:37:13Z,,5364587,411483,0,4559,0,PT11S,hd,false,,20,pt-PT,zh,none,https://i.ytimg.com/vi/vaKH3j-76RY/default.jpg,https://i.ytimg.com/vi/vaKH3j-76RY/hqdefault.jpg,https://i.ytimg.com/vi/vaKH3j-76RY/maxresdefault.jpg,,,br,pt,gato,relevance
9,Cresceu só de tamanho porque continua um nenezão 🥰| #shorts | #gatos,https://www.youtube.com/watch?v=lxGRsFm3NRg,lxGRsFm3NRg,Trigatos,UCfiMDVXFBRqRH0LlRI7lDjA,2022-09-16T22:00:30Z,"Loja na Petz: https://trigatos.parceiropetz.com.br/
Loja na Petlove: https://trigatos.petlove.com.br/

Guia, peitoral, coleira, bolsa de transporte, brinquedo, cama, arranhador, etc:
https://www.zeedog.com.br/gatos/
Cupom de desconto: TRIGATOS

Botões de fala: https://amzn.to/3l2zDti
Câmera na coleira: https://amzn.to/3OTUDQO

🐈 SIGA NAS REDES SOCIAIS 🐈
Tiktok: https://www.tiktok.com/@trigatos
Instagram: https://www.instagram.com/trigatos/

#gatos #gatosfofos #humor #amogatos #gatosdobrasil #gatosquefalam #passeiodegato #passearcomgato #coleiradegato #gatopreto #gatocinza #trigatos",133123,4052,0,40,0,PT9S,hd,false,"gatos, gato, gato preto, gato cinza, gato rajado, gato viralata, gatos engraçados, trigatos, pets, pet, humor, vídeos de gatos, gatos fofos, gateiros, gateiras, gatos falantes, gatos passeando, Gato Marshall, Gato Ted, Gata Lily",15,pt-BR,pt-BR,none,https://i.ytimg.com/vi/lxGRsFm3NRg/default.jpg,https://i.ytimg.com/vi/lxGRsFm3NRg/hqdefault.jpg,,,,br,pt,gato,relevance
10,Gato Laranja é o caos em forma de felino!!!,https://www.youtube.com/watch?v=YL-rNNdGmJI,YL-rNNdGmJI,Daniel & Dimy,UCNXf7QqzA6k6RU8QIcFLkag,2023-10-01T16:30:10Z,"nem todo gato laranja, mas sempre um gato laranja 😂😸",13452258,777063,0,8044,0,PT1M,hd,false,"chavedazona, curtas, animação, animation, desenho, desenhado, animado, engraçado, animada, histórias, vlog, conta, dublado, desenhista, meme, funny, gato, gato laranja, gatos, felinos",24,pt-BR,pt-BR,none,https://i.ytimg.com/vi/YL-rNNdGmJI/default.jpg,https://i.ytimg.com/vi/YL-rNNdGmJI/hqdefault.jpg,https://i.ytimg.com/vi/YL-rNNdGmJI/maxresdefault.jpg,,,br,pt,gato,relevance
