rank,title,link,video_id,channel,channel_id,published,description,views,likes,dislikes,comments,favorites,duration,definition,caption,tags,category_id,default_language,default_audio_language,live_broadcast_content,thumbnail_default,thumbnail_high,thumbnail_maxres,channel_custom_url,channel_description,regiao,idioma,termo,order
1,Atirei o pau no gato - Galinha Pintadinha 2 - OFICIAL,https://www.youtube.com/watch?v=0hhz7KSEIAE,0hhz7KSEIAE,Galinha Pintadinha,UCBAb_DK4GYZqZR9MFA7y2Xg,2010-09-17T11:46:51Z,"Ouça em:
Spotify: https://open.spotify.com/artist/070CnHC2iZh5oLpyWYPf8h
Amazon Music: https://amzn.to/GalinhaPintadinha 
Apple Music: https://music.apple.com/br/artist/galinha-pintadinha/450813851
Deezer: https://www.deezer.com/br/artist/1385868
YouTube Music: https://music.youtube.com/channel/UCzbroYP8Yxe0CF5sYPn-mlQ

Assista em:
Netflix: https://www.netflix.com/br/title/70231705
Max: https://www.max.com/br/pt/shows/galinha-pintadinha/32902d03-a458-409c-a2f1-88c50ed7dd6b
Globoplay: https://globoplay.globo.com/categorias/infantil-galinha-pintadinha/
Prime Video: https://www.primevideo.com/detail/Galinha-Pintadinha/0PDP61KBZ5A3WI0OREOFE8EEUU

Baixe o App da Galinha: https://go.01-d.com/AppGalinhaPintadinha 
Instagram: https://www.instagram.com/galinhapintadinha_oficial/
TikTok: https://www.tiktok.com/@galinha.oficial
Site Oficial: http://www.galinhapintadinha.com.br
Loja Oficial: https://www.amazon.com.br/stores/page/E5A68192-CCA4-4354-8B99-AC91B950790E

© Bromelia Produções #GalinhaPintadinha",870660763,1680429,0,0,0,PT1M49S,hd,false,"atirei, pau, gato, infantil, juptube, musica infantil, desenho animado, clipes musicais, educativo, mundo bita, galinha pintadinha completo, clipe infantil, animais, tv tubinho, pintinho amarelinho, upa cavalinho, bolofofos, palavra cantada, funk do pão de queijo, papagaio louro",1,pt,pt,none,https://i.ytimg.com/vi/0hhz7KSEIAE/default.jpg,https://i.ytimg.com/vi/0hhz7KSEIAE/hqdefault.jpg,https://i.ytimg.com/vi/0hhz7KSEIAE/maxresdefault.jpg,,,br,pt,gato,viewCount
2,É um gato? História cantada #paracriancas #musicainfantil #livros,https://www.youtube.com/watch?v=bmYnz9TWgKc,bmYnz9TWgKc,Sara do Vale,UCClUG6pSeHUheedjN91DEYw,2024-10-30T14:00:38Z,,354569088,4341310,0,0,0,PT33S,hd,false,,27,pt-PT,pt-BR,none,https://i.ytimg.com/vi/bmYnz9TWgKc/default.jpg,https://i.ytimg.com/vi/bmYnz9TWgKc/hqdefault.jpg,https://i.ytimg.com/vi/bmYnz9TWgKc/maxresdefault.jpg,,,br,pt,gato,viewCount
3,Artist Cat 😼 #cat #cute #pet #kitten #tiger,https://www.youtube.com/watch?v=oAWEtuE-pcE,oAWEtuE-pcE,Petbus,UCiaJo5Jxv4gXECRtn2o42gw,2024-06-17T22:35:00Z,Stories of cute animals. #pets #story #cartoon #cat #dog,255048980,5880704,0,10802,0,PT40S,hd,false,"english, 한국어",15,en-US,en-US,none,https://i.ytimg.com/vi/oAWEtuE-pcE/default.jpg,https://i.ytimg.com/vi/oAWEtuE-pcE/hqdefault.jpg,https://i.ytimg.com/vi/oAWEtuE-pcE/maxresdefault.jpg,,,br,pt,gato,viewCount
4,Atirei o Pau no Gato - Galinha Pintadinha 2,https://www.youtube.com/watch?v=A1q6KJgWURk,A1q6KJgWURk,BabyPlay,UC8SghM5Jt1Bohj0TguD9SwQ,2020-09-12T21:00:25Z,"** (Vídeos Novos Quarta - Sábado) **

Assista e Cante junto no videoclipe Atirei o Pau no Gato da Galinha Pintadinha do DVD 2.

DEIXA SEU LIKE 👍

Se Inscreva no Canal: https://www.youtube.com/channel/UC8SghM5Jt1Bohj0TguD9SwQ

DVD da Galinha Pintadinha 1 Completo: https://www.youtube.com/playlist?list=PLvN1f9GuQ2kvF4SrCE-Iy1mw0xA91pSAj

DVD da Galinha Pintadinha 2 Completo:
https://www.youtube.com/playlist?list=PLvN1f9GuQ2kuzOMiL0nkeDZK60vUmD4KF

DVD da Galinha Pintadinha 3 Completo:
https://www.youtube.com/playlist?list=PLvN1f9GuQ2ktkK6Av7VtU3uKP8KYvIUuN

DVD da Galinha Pintadinha 4 Completo:
https://www.youtube.com/playlist?list=PLvN1f9GuQ2kvVSO7eWXLIqgvzTP23LlLS

DVD da Galinha Pintadinha 5 Completo:
https://www.youtube.com/playlist?list=PLvN1f9GuQ2kvtkybhyZelL_q_5xZc_N-z

Letra:

Atirei o pau no gato
Mas o gato não morreu
Dona Chica admirou-se
Do berro, do berro que o gato deu
Miau!

Atirei o pau no gato
Mas o gato não morreu
Dona Chica admirou-se
Do berro, do berro que o gato deu
Miau!

Miau miau miau
Miau miau miau
Miau miau miau
Miau miau miau
Miau miau miau
Miau miau miau
Miau miau miau

Atirei o pau no gato
Mas o gato não morreu
Dona Chica admirou-se
Do berro, do berro que o gato deu
Miau!

Não atire o pau no gato
Por que isso
Não se faz
O gatinho é nosso amigo
Não devemos maltratar os animais
Jamais!

#AtireiOPauNoGato
#GalinhaPintadinha",245388110,174702,0,0,0,PT2M5S,hd,false,"atirei o pau no Gato, galinha pintadinha 2, música infantil",10,pt-BR,pt-BR,none,https://i.ytimg.com/vi/A1q6KJgWURk/default.jpg,https://i.ytimg.com/vi/A1q6KJgWURk/hqdefault.jpg,,,,br,pt,gato,viewCount
5,Roberto Carlos - Un Gato En La Oscuridad (Un Gato Nel Blu),https://www.youtube.com/watch?v=lEjZQ57E3uE,lEjZQ57E3uE,robertocarlostvVEVO,UCCSj7AWazp3e94kV-i7biLw,2009-11-24T20:45:14Z,Music video by Roberto Carlos performing Un Gato En La Oscuridad (Un Gato Nel Blu). (C) 2008 Sony Music Entertainment US Latin LLC,168733894,114017,0,1684,0,PT4M13S,sd,false,"Roberto, Carlos, Sony, Music, Latin",10,es,es,none,https://i.ytimg.com/vi/lEjZQ57E3uE/default.jpg,https://i.ytimg.com/vi/lEjZQ57E3uE/hqdefault.jpg,https://i.ytimg.com/vi/lEjZQ57E3uE/maxresdefault.jpg,,,br,pt,gato,viewCount
6,"Gatito🐱, Bienvenido a Familia Bebefinn | EP73 | La Canción del Gato | Bebefinn Canciones Infantiles",https://www.youtube.com/watch?v=RRuipKU-V0U,RRuipKU-V0U,Bebefinn en español - Canciones Infantiles,UC9Vv1LScecnPZI778jocihA,2023-10-13T16:00:22Z,"Ha llegado un nuevo amigo a la casa de Bebefinn. 
Es un gatito. 
¡Hola, gatito! ¡Gusto en conocerte!

💛👶🏼 Para ver canciones infantiles de Bebefinn ➡️ https://www.youtube.com/watch?v=7OT7ohy5F-A&list=PLk9Mmcky3bJ-Dldv8ytRGkZNqsU72x0XN&index=1

💛👶🏼 [NUEVO] Bebefinn en español - Canciones Infantiles ➡️ https://www.youtube.com/@Bebefinn_Spanish?sub_confirmation=1

----
★ Letras

Yo soy un gato pelirrojo. 
Y mis ojitos son marrones.   
Yo soy un gato pelirrojo. 
¿Quieres darme una caricia?

¡Gusto en conocerte, gatito!

Es un gatito pelirrojo. 
¡Miau, miau, miau, miau,
miau, miau, gato!
Gatito pelirrojo. 
¡Miau, miau, miau, miau!
 
Es un gatito pelirrojo. 
¡Miau, miau, miau, miau,
miau, miau, gato!
Gatito pelirrojo. 
¡Miau, miau, miau, miau!

Es un gato pelirrojo.
Y sus ojitos son marrones.
Es un gato pelirrojo.
¿Dónde está tu familia?
    
Yo soy un gato pelirrojo. 
Y mis ojitos son marrones. 
Yo soy un gato pelirrojo. 
¿Quieres darme una caricia?

¡Seamos amigos!

Es un gatito pelirrojo. 
¡Miau, miau, miau, miau,
miau, miau, gato!
Gatito pelirrojo. 
¡Miau, miau, miau, miau!

Es un gatito pelirrojo. 
¡Miau, miau, miau, miau,
miau, miau, gato!
Gatito pelirrojo. 
¡Miau, miau, miau, miau!

Oh no, gatito pelirrojo
con ojos marrones. 
Oh no, gatito pelirrojo. 
Vamos a cuidarte. 
   
Yo soy un gato pelirrojo. 
Y mis ojitos son marrones.    
Yo soy un gato pelirrojo. 
¿Quieres darme una caricia?

Es un gatito pelirrojo. 
¡Miau, miau, miau, miau,
miau, miau, gato!
Gatito pelirrojo. 
¡Miau, miau, miau, miau!
 
Es un gatito pelirrojo. 
¡Miau, miau, miau, miau,
miau, miau, gato!
Gatito pelirrojo. 
¡Miau, miau, miau, miau!

¡Bienvenido a la familia!

Es un gatito pelirrojo. 
¡Miau, miau, miau, miau,
miau, miau, gato!
Gatito pelirrojo. 
¡Miau, miau, miau, miau!
 
Es un gatito pelirrojo. 
¡Miau, miau, miau, miau,
miau, miau, gato!
Gatito pelirrojo. 
¡Miau, miau, miau, miau!

----

💛👶🏼 Para ver canciones infantiles de Bebefinn ➡️ https://www.youtube.com/watch?v=7OT7ohy5F-A&list=PLk9Mmcky3bJ-Dldv8ytRGkZNqsU72x0XN&index=1

⭐️¡Descarga el App de Tiburón Bebé!  ➡️ https://link.cleve.re/11632/28
🎁¡Pinkfong! Tienda Oficial : https://link.cleve.re/10483/

Síguenos en nuestras redes sociales.
★ Instagram: https://instagram.com/babysharkbrooklyn.official
★ TikTok: https://www.tiktok.com/@pinkfong_official
★ Facebook: https://www.facebook.com/babyshark.global

💕¡Pinkfong! Página Web Oficial ➡️ https://www.thepinkfongcompany.com/en

Por favor, tengan un momento para participar en la encuesta para mejores contenidos.
✅¡Nos encantaría escuchar y saber sus opiniones!
https://forms.gle/evESppNW4Rv4vGkz8

#bebefinnespañol #bebefinn #cancionesinfantiles
Copyright © 2023 The Pinkfong Company, Inc. All Rights Reserved.",109790458,76131,0,0,0,PT3M20S,hd,false,"aprendizaje preescolar, bailar con niños, bebe, cancion infantil, cancion para niños, canciones para bebes, canciones para niños, canciones para preecolares, caricatura para niños, educación infantil, educación para niños, educativo, infantil, niños, niños pequeños, vídeos infantiles, vídeos para niños, baby shark, para niños, cocomelon",24,es,es,none,https://i.ytimg.com/vi/RRuipKU-V0U/default.jpg,https://i.ytimg.com/vi/RRuipKU-V0U/hqdefault.jpg,https://i.ytimg.com/vi/RRuipKU-V0U/maxresdefault.jpg,,,br,pt,gato,viewCount
7,Tengo un GATO NINJA 🤩🥷 (lo mejor que verás hoy),https://www.youtube.com/watch?v=xnyrnWLIF18,xnyrnWLIF18,Patricio Razo,UCE2NkmhuabUdAo57hIK9Glw,2024-08-09T18:22:45Z,,88416047,3240804,0,59650,0,PT44S,hd,false,,24,es-MX,es-MX,none,https://i.ytimg.com/vi/xnyrnWLIF18/default.jpg,https://i.ytimg.com/vi/xnyrnWLIF18/hqdefault.jpg,https://i.ytimg.com/vi/xnyrnWLIF18/maxresdefault.jpg,,,br,pt,gato,viewCount
8,POV: The cat has 9 lives in squid games,https://www.youtube.com/watch?v=QUNSdJNbeug,QUNSdJNbeug,Agbaps Shorts,UCHm8B53nQyyn6jyuSoWcfng,2025-02-26T22:30:04Z,"Subscribe for more 😁


Subscribe to my main channel : https://www.youtube.com/channel/UCPqS0n6EGPHfO1aS50s-Lpw",78439247,1384624,0,3131,0,PT25S,hd,false,"funny, comedy, agbaps, animation, cartoon",1,en-US,en,none,https://i.ytimg.com/vi/QUNSdJNbeug/default.jpg,https://i.ytimg.com/vi/QUNSdJNbeug/hqdefault.jpg,https://i.ytimg.com/vi/QUNSdJNbeug/maxresdefault.jpg,,,br,pt,gato,viewCount
9,FILHOTE 🐶 COM FOME 🤤 #comedia #gatos #shorts,https://www.youtube.com/watch?v=RXn5SwHWicw,RXn5SwHWicw,Oimavih,UCWLpnyzUK385Z922ETabAfw,2023-05-23T23:00:09Z,,49772428,953979,0,2334,0,PT27S,hd,false,,24,pt-BR,pt-BR,none,https://i.ytimg.com/vi/RXn5SwHWicw/default.jpg,https://i.ytimg.com/vi/RXn5SwHWicw/hqdefault.jpg,https://i.ytimg.com/vi/RXn5SwHWicw/maxresdefault.jpg,,,br,pt,gato,viewCount
10,¿ #sabiasque ? 😿🐈‍⬛ #triste #gatos #shorts,https://www.youtube.com/watch?v=kqcTdyEna3c,kqcTdyEna3c,Emmanuel Con Doble Eme,UCdk1PtTed5bhyQNvGVwzLZg,2023-05-28T03:16:38Z,,45258941,2397888,0,6299,0,PT37S,hd,false,,22,es,es,none,https://i.ytimg.com/vi/kqcTdyEna3c/default.jpg,https://i.ytimg.com/vi/kqcTdyEna3c/hqdefault.jpg,https://i.ytimg.com/vi/kqcTdyEna3c/maxresdefault.jpg,,,br,pt,gato,viewCount
