engine,rank,title,link,snippet,regiao,termo,tentativa
duckduckgo,1,Bola | Spanish to English Translation - SpanishDictionary.com,https://www.spanishdict.com/translate/bola,"Translate Bola . See 9 authoritative translations of Bola in English with example sentences, phrases and audio pronunciations.",br,bola,1
duckduckgo,2,"Berita dan Foto Sepak Bola Terbaru, Jadwal dan Hasil ...",https://www.bola.net/,"Nonton TV, Bola , Sports, Film & Series dan hiburan terbaik lainnya di Vidio. Aktifkan paketmu sekarang! #SemuaAdaDiVidio.",br,bola,1
duckduckgo,3,"Berita Bola Terkini, Jadwal Klasemen, Skor Liga - Bola.com",https://www.bola.com/,"Bola .com - Berita Terkini Seputar Dunia Bola , Jadwal, Pemain, Prediksi Hasil Pertandingan, Live Score Sepak Bola Liga Indonesia, Eropa dan Internasional.",br,bola,1
duckduckgo,4,BOLA | translation Spanish to English: Cambridge Dictionary,https://dictionary.cambridge.org/us/dictionary/spanish-english/bola,"BOLA translations: ball, marble, lie, fib, ball, bowl, fib. Learn more in the Cambridge Spanish-English Dictionary.",br,bola,1
duckduckgo,5,BOLA Definition & Meaning | Dictionary.com,https://www.dictionary.com/browse/bola,"Bola definition: Also a weapon consisting of two or more heavy balls secured to the ends of one or more strong cords, hurled by the Indians and gauchos of southern South America to entangle the legs of cattle and other animals..",br,bola,1
duckduckgo,6,Translate bola from Spanish to English,https://www.interglot.com/dictionary/es/en/translate/bola,"Bola translated from Spanish to English including synonyms, definitions, and related words.",br,bola,1
duckduckgo,7,Ona va Bola - Dandarin,https://dandarin.ucoz.net/news/ona_va_bola/1-0-12,Главная » Ona va Bola . Ўгай онам билан. Мени исмим Шухрат.,br,bola,1
duckduckgo,8,Mais de 100.000 imagens grátis de Bola De Borracha e Bola - Pixabay,https://pixabay.com/pt/images/search/bola+de+borracha/,Encontre imagens de Bola De Borracha Sem direitos de autor Atribuição não requerida Imagens de alta qualidade.,br,bola,1
duckduckgo,9,"Bayern Munich vs Sporting -Eropa: Liga Champions, Nonton Bola ...",https://idn912.tigoals218.com/football/2861096-bayern-munchen-vs-sporting-cp.html,"Tigoals menawarkan live streaming lebih dari 100+ liga sepak bola dan bola basket untuk para pecinta bola secara gratis, termasuk Liga Premier, Bundesliga, La Liga, Ligue 1, Serie A, NBA...",br,bola,1
duckduckgo,10,Turnamen Bola Voli | TikTok,https://www.tiktok.com/discover/turnamen-bola-voli,"Ikuti turnamen bola voli Kapolres Cup di Tulungagung, menjaring atlit berprestasi dengan 16 tim!",br,bola,1
duckduckgo,11,Bola banda electrónica | bola banda electrónica,https://5lunasproducciones.bandcamp.com/album/bola-banda-electr-nica,"Himno de la bola 19. Por si la piden 20.If you like BOLA BANDA ELECTRÓNICA, you may also like",br,bola,1
duckduckgo,12,Pedro treina com bola e pode reforçar Flamengo na Copa...,https://www.band.com.br/esportes/pedro-e-a-novidade-no-treino-do-flamengo-e-participa-de-atividade-com-bola-no-catar-202512111315,"O atacante Pedro foi a principal novidade no treino do Flamengo nesta quinta-feira, participando sem limitações das atividades com bola após se recuperar de lesão muscular na coxa...",br,bola,1
duckduckgo,13,XASNANBOY F SUT YOʻNALISHIDA ONA BOLA ... - YouTube,https://www.youtube.com/watch?v=VLo_JeSuoho,XASNANBOY F SUT YOʻNALISHIDA ONA BOLA SIGIRLAR NARXLAR YANADA ARZON DASTAFKSI BOR.,br,bola,1
duckduckgo,14,"Lindona (feat. DENNIS, Mc Nego Blue & MC Guime) - Mc Bola : Song...",https://www.shazam.com/song/918652701/lindona-feat-guimê-mc-bola-and-nego-blue,"Lindona (feat. Mc Bola , Mc Nego Blue & Mc Guimê)DENNIS. Listen to Positividade by Mc Bola , MC Magal & Djay W, see lyrics, music video & more!",br,bola,1
duckduckgo,15,13) Uma bola é lançada ao ar. A sua altura h (metros)... - brainly.com.br,https://brainly.com.br/tarefa/64958965,"a) Em que instante a bola atinge a altura máxima? =2 segundos.Ou seja, a bola começa a 5 metros do chão. Sobe até 9 m no tempo t = 2 s. Depois começa a descer.",br,bola,1
duckduckgo,16,Notícias desportivas & mais lidas | A Bola,https://www.abola.pt/,Leia as últimas notícias desportivas. Seja o primeiro a receber atualizações exclusivas no seu telemóvel com a subscrição gratuita.,br,bola,1
duckduckgo,17,Tonton Persib Bandung VS Bangkok United secara Live... - Nobar Warna,https://stream1.nobarwarna.vip/live/persib-bandung-vs-bangkok-united-1629471821,Telegram. WhatsApp. Streaming Sepak Bola . bola hari ini cara nonton bola online gratis nobar liga champions tanpa buffering situs nobar tanpa login tempat nonton bareng bola online.,br,bola,1
