"autor","autorId","autorUrl","comentario","likes","publicado_em","atualizado_em","canReply","isPublic","totalReplyCount","replyCount","replies","video_id","video_titulo","ordenacao_comentario","ordenacao_comentario_nome"
"@MemeMachineBrawl","UC0NR50VbOFhx0gJro8BJkaw","http://www.youtube.com/@MemeMachineBrawl","😢😢","1","2025-12-12T13:28:13Z","2025-12-12T13:28:13Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T13:40:49Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","1","Mais novos"
"@AshaDevi-c1c3s","UCPEi96rdUY7q2Ut2-XLV2Ww","http://www.youtube.com/@AshaDevi-c1c3s","❤❤❤❤❤😂😂❤😂😂😂😂😂😂😂😂😂","1","2025-12-12T13:10:38Z","2025-12-12T13:10:38Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T14:11:45Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","1","Mais novos"
"@FzsGigjuIfCjjjz-c9m","UCpE4vGt-Kfsby3o2KwxYbww","http://www.youtube.com/@FzsGigjuIfCjjjz-c9m","خلببزو😂😂😂😂😂😂😂😂😂😂😂😂","2","2025-12-12T12:40:10Z","2025-12-12T12:40:10Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T12:42:57Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","1","Mais novos"
"@DarshanaDhamgaye-c4m","UCjtUK_ucAIV-naezUqjvSUw","http://www.youtube.com/@DarshanaDhamgaye-c4m","😢😢❤❤❤❤❤","2","2025-12-12T12:26:42Z","2025-12-12T12:26:42Z","True","True","3","3","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T12:33:45Z'}, {'autor': '@BlancaflorCoreasAmaya', 'comentario': '❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'likes': 1, 'publicado_em': '2025-12-12T14:08:01Z'}, {'autor': '@dm_originative', 'comentario': '\u200b@BlancaflorCoreasAmaya❤', 'likes': 0, 'publicado_em': '2025-12-12T14:11:09Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","1","Mais novos"
"@fsanfordgamingf7718","UCNmMYNyP-r3K6bOkE-J8eHg","http://www.youtube.com/@fsanfordgamingf7718","Can you tell me sir? which ai tools are you use? 
Please😊❤","2","2025-12-12T12:07:09Z","2025-12-12T12:07:09Z","True","True","0","0","[]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","1","Mais novos"
"@SumitraRai-z7d","UC9-6P8eIdZiE52xihGM1Afw","http://www.youtube.com/@SumitraRai-z7d","❤❤😢,,","4","2025-12-12T11:54:42Z","2025-12-12T11:54:42Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T11:57:11Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","1","Mais novos"
"@Anshuyadav-n2w8v","UCMW_WhAkHgqxgPAPF5L6eOA","http://www.youtube.com/@Anshuyadav-n2w8v","Goku mehnat Kare wala kahani","2","2025-12-12T11:17:30Z","2025-12-12T11:17:30Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 1, 'publicado_em': '2025-12-12T11:42:58Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","1","Mais novos"
"@Anshuyadav-n2w8v","UCMW_WhAkHgqxgPAPF5L6eOA","http://www.youtube.com/@Anshuyadav-n2w8v","Goku mehnat Kare wala kahani","2","2025-12-12T11:17:30Z","2025-12-12T11:17:30Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 1, 'publicado_em': '2025-12-12T11:42:58Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","2","Mais antigos"
"@SumitraRai-z7d","UC9-6P8eIdZiE52xihGM1Afw","http://www.youtube.com/@SumitraRai-z7d","❤❤😢,,","4","2025-12-12T11:54:42Z","2025-12-12T11:54:42Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T11:57:11Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","2","Mais antigos"
"@fsanfordgamingf7718","UCNmMYNyP-r3K6bOkE-J8eHg","http://www.youtube.com/@fsanfordgamingf7718","Can you tell me sir? which ai tools are you use? 
Please😊❤","2","2025-12-12T12:07:09Z","2025-12-12T12:07:09Z","True","True","0","0","[]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","2","Mais antigos"
"@DarshanaDhamgaye-c4m","UCjtUK_ucAIV-naezUqjvSUw","http://www.youtube.com/@DarshanaDhamgaye-c4m","😢😢❤❤❤❤❤","2","2025-12-12T12:26:42Z","2025-12-12T12:26:42Z","True","True","3","3","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T12:33:45Z'}, {'autor': '@BlancaflorCoreasAmaya', 'comentario': '❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'likes': 1, 'publicado_em': '2025-12-12T14:08:01Z'}, {'autor': '@dm_originative', 'comentario': '\u200b@BlancaflorCoreasAmaya❤', 'likes': 0, 'publicado_em': '2025-12-12T14:11:09Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","2","Mais antigos"
"@FzsGigjuIfCjjjz-c9m","UCpE4vGt-Kfsby3o2KwxYbww","http://www.youtube.com/@FzsGigjuIfCjjjz-c9m","خلببزو😂😂😂😂😂😂😂😂😂😂😂😂","2","2025-12-12T12:40:10Z","2025-12-12T12:40:10Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T12:42:57Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","2","Mais antigos"
"@AshaDevi-c1c3s","UCPEi96rdUY7q2Ut2-XLV2Ww","http://www.youtube.com/@AshaDevi-c1c3s","❤❤❤❤❤😂😂❤😂😂😂😂😂😂😂😂😂","1","2025-12-12T13:10:38Z","2025-12-12T13:10:38Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T14:11:45Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","2","Mais antigos"
"@MemeMachineBrawl","UC0NR50VbOFhx0gJro8BJkaw","http://www.youtube.com/@MemeMachineBrawl","😢😢","1","2025-12-12T13:28:13Z","2025-12-12T13:28:13Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T13:40:49Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","2","Mais antigos"
"@SumitraRai-z7d","UC9-6P8eIdZiE52xihGM1Afw","http://www.youtube.com/@SumitraRai-z7d","❤❤😢,,","4","2025-12-12T11:54:42Z","2025-12-12T11:54:42Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T11:57:11Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","3","Mais curtidos"
"@fsanfordgamingf7718","UCNmMYNyP-r3K6bOkE-J8eHg","http://www.youtube.com/@fsanfordgamingf7718","Can you tell me sir? which ai tools are you use? 
Please😊❤","2","2025-12-12T12:07:09Z","2025-12-12T12:07:09Z","True","True","0","0","[]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","3","Mais curtidos"
"@Anshuyadav-n2w8v","UCMW_WhAkHgqxgPAPF5L6eOA","http://www.youtube.com/@Anshuyadav-n2w8v","Goku mehnat Kare wala kahani","2","2025-12-12T11:17:30Z","2025-12-12T11:17:30Z","True","True","1","1","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 1, 'publicado_em': '2025-12-12T11:42:58Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","3","Mais curtidos"
"@DarshanaDhamgaye-c4m","UCjtUK_ucAIV-naezUqjvSUw","http://www.youtube.com/@DarshanaDhamgaye-c4m","😢😢❤❤❤❤❤","2","2025-12-12T12:26:42Z","2025-12-12T12:26:42Z","True","True","3","3","[{'autor': '@dm_originative', 'comentario': '❤', 'likes': 0, 'publicado_em': '2025-12-12T12:33:45Z'}, {'autor': '@BlancaflorCoreasAmaya', 'comentario': '❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'likes': 1, 'publicado_em': '2025-12-12T14:08:01Z'}, {'autor': '@dm_originative', 'comentario': '\u200b@BlancaflorCoreasAmaya❤', 'likes': 0, 'publicado_em': '2025-12-12T14:11:09Z'}]","y8cwF_MaVGY","Goku Fighting for Money?! 💰😱 Emotional Heartbreaking Story #shorts #short","3","Mais curtidos"
