rank,title,link,video_id,channel,channel_id,published,description,views,likes,dislikes,comments,favorites,duration,definition,caption,tags,category_id,regiao,idioma,termo
1,💣 O MERCADO FOI PEGUO NO PULO! POR QUE O BITCOIN DESABOU MESMO COM NOTÍCIAS BOAS?! 😳🔥,https://www.youtube.com/watch?v=4r5G_EWUGqM,4r5G_EWUGqM,Criptográfico,UC_BaeqJPj3R4vtM05va-IKw,2025-12-11T16:16:35Z,LINK PARA CRIAR CONTA NA BINGX: https://bingx.com/partner/criptografico Link para criar conta na hyblockcapital: ...,3428,371,0,103,0,PT16M41S,hd,false,"bitcoin, bitcoin hoje, bitcoin analise, analise bitcoin, valor do bitcoin, analise bitcoin hoje, bitcoin hoje analise, análise gráfica bitcoin, comprar bitcoin, bitcoin agora",24,br,pt,bitcoin
2,BITCOIN VAI SUBIR EM 2026 APÓS 3º CORTE NA TAXA DE JUROS?,https://www.youtube.com/watch?v=dloBqocJ39I,dloBqocJ39I,CRIPTOMANIACOS,UCEkg0hhWS_oxD24f_6C9Qbw,2025-12-10T23:03:13Z,VENHA TRABALHAR NA ALTSIDE: https://www.linkedin.com/jobs/view/4349105418/ CONHEÇA A ALTSIDE: ...,32164,4843,0,303,0,PT10M33S,hd,false,"criptomaniacos, criptomoedas, mercado bitcoin, ethereum, comprar bitcoin, criptomoeda, btc, eth, binance, altcoins",22,br,pt,bitcoin
3,"Bitcoin (BTC) - Análise de fim de tarde, 11/12/2025!  #BTC #bitcoin #XRP #ripple #ETH #Ethereum #BNB",https://www.youtube.com/watch?v=uYro8SWqirM,uYro8SWqirM,Trade with Renato Ulianov,UCY3HJfADCXTiF9kMGH5zrMg,2025-12-11T20:11:21Z,AGORA GEMAS Altcoins Alert !!! - (R$100/mês): https://pay.hotmart.com/Y93614691E Compre AGORA Curso de Análise Técnica ...,7581,1039,0,30,0,PT23M,hd,false,"btc, bitcoin, eth, ethereum, XRP, ripple, blockchain, crypto, criptomoedas, criptomoeda",22,br,pt,bitcoin
4,O QUE O FED ACABOU DE FAZER VAI SALVAR O BITCOIN E AS CRIPTOS ALTCOINS,https://www.youtube.com/watch?v=NsX0dhmdGwk,NsX0dhmdGwk,Luiz Fernando,UC-xEWFsiOcmUhcmofRV9Mdg,2025-12-11T22:00:24Z,O QUE O FED ACABOU DE FAZER VAI SALVAR O BITCOIN E AS CRIPTOS ALTCOINS ABRA SUA CONTA NA OKX     ...,3227,369,0,57,0,PT18M57S,hd,false,"criptomoedas, criptomoedas promissoras, criptomoedas hoje, top criptomoedas, melhor cripto para investir hoje, qual cripto vai explodir, criptomoedas notícias hoje, top 10 criptomoedas, top criptos, criptos que podem explodir",27,br,pt,bitcoin
5,BITCOIN DUMP 89K: O CICLO DA NARRATIVA DA ALTA INFINITA: E AGORA?  - Análise Técnica/Sentimento,https://www.youtube.com/watch?v=rH6PLR7-2ps,rH6PLR7-2ps,Investidor Moderno,UCqJh7qQbiQ-5HPZkMu_hIqg,2025-12-11T15:46:17Z,PROGRAMA DE MEMBROS https://investidormoderno.net/index.php/membros Você também pode assinar pelo Youtube: ...,8887,1092,0,265,0,PT18M7S,hd,false,"bitcoin, investidor moderno, trading, bitcoin hoje, mercado bitcoin, btc, binance, day trade, criptomoedas, ethereum",27,br,pt,bitcoin
6,URGENTE BITCOIN E ALTCOINS PODEM DISPARAR FED VAI IMPRIMIR DINHEIRO - BITCOIN HOJE 10/12/2025,https://www.youtube.com/watch?v=HU6nJNbjpZc,HU6nJNbjpZc,Investidor Matuto,UCk9x84cpq-zrk4e2ehRRWow,2025-12-10T20:51:33Z,URGENTE BITCOIN E ALTCOINS PODEM DISPARAR FED VAI IMPRIMIR DINHEIRO - BITCOIN HOJE 10/12/2025 PEÇA ...,3343,333,0,66,0,PT17M51S,hd,false,"Investidor Matuto, Criptomoedas, Bitcoin hoje, Mercado de criptomoedas, Investimentos 2025, Como investir em criptomoedas, Blockchain e cripto, Altcoin season 2025, Melhores altcoins, Ethereum vs Bitcoin",24,br,pt,bitcoin
7,📉 QUEDA! FED SINALIZA CAUTELA ✋🏼 BITCOIN CORRIGE 📉,https://www.youtube.com/watch?v=R4dVZbD1ZdI,R4dVZbD1ZdI,João Hazim,UCkuQgEkF6nq26tcFKgCtgpg,2025-12-11T11:07:22Z,"Torne-se membro do canal se você gosta dos conteúdos compartilhados, para ter acesso à uma call fechada por semana e para ...",6731,805,0,19,0,PT56M35S,hd,false,,24,br,pt,bitcoin
8,BITCOIN E AÇÕES EM RISCO PARA 2026?,https://www.youtube.com/watch?v=BWaykbR0GVo,BWaykbR0GVo,Augusto Backes,UCNGqYuEd86K7dY70jE6dhKg,2025-12-10T15:15:45Z,Se torne membro do canal para aprender a deixar de ser pobre: ...,25762,2332,0,73,0,PT1H27M40S,hd,false,"bitcoin, mercado de ações, criptomoedas",24,br,pt,bitcoin
9,Comprando Bitcoin em 1 minuto,https://www.youtube.com/watch?v=EV_TftnS-dI,EV_TftnS-dI,Primo Pobre,UCOjXqrOxAdXa04obIQREfCA,2024-07-24T12:11:14Z,,349718,20699,0,405,0,PT1M,hd,false,,22,br,pt,bitcoin
10,Bitcoin vai Acabar! 😱 #ruyter #ruyterpoubel #criptomoedas #cripto #bitcoin,https://www.youtube.com/watch?v=nrXsD5kJYYs,nrXsD5kJYYs,Ruyter,UCNnyOhrUVyr0elJgNWPgLKQ,2025-07-21T21:51:07Z,Comunidade do Ruyter no Discord: discord.gg/ruyter.,32781,635,0,49,0,PT34S,hd,false,"ruyter, ruyter poubel",22,br,pt,bitcoin
