"author","authorUri","rating","title","content","votes","date","id","version","voteSum"
"Sergio.dsantos :-)","https://itunes.apple.com/br/reviews/id417917808","5","Corretora de cripto Top","MEXC é a melhor corretora, muitas opções de criptos.","0","2025-12-09T17:53:25-07:00","13495721912","6.35.0","0"
"Marcosfdx","https://itunes.apple.com/br/reviews/id1541342593","5","Excelente","Melhor opção para futuros","0","2025-07-09T07:25:17-07:00","12871411223","6.15.0","0"
"ronyocara","https://itunes.apple.com/br/reviews/id1283886552","5","Rapidez confiança","Nota 10","0","2025-07-02T15:42:22-07:00","12845129835","6.14.0","0"
"JDM despachante médico","https://itunes.apple.com/br/reviews/id1639035470","5","Top de linha !","Top de linha !","0","2025-07-03T11:11:01-07:00","12848478552","6.14.0","0"
"Hguenjxicnff","https://itunes.apple.com/br/reviews/id516650192","5","Ótima exchange","Excelente exchange","0","2025-07-03T12:26:12-07:00","12848702971","6.14.0","0"
"Andrew Iceman87","https://itunes.apple.com/br/reviews/id277194837","5","Muito melhor que Bybit","Melhor que Binance onlixo da Bybit! <3","0","2025-07-03T18:40:12-07:00","12849653344","6.14.0","0"
"TrindadeA","https://itunes.apple.com/br/reviews/id447280635","5","Melhor opção para futuros","A melhor e mais confiável","0","2025-07-04T07:53:45-07:00","12851792018","6.14.0","0"
"Getúlio Ojogador","https://itunes.apple.com/br/reviews/id1576803212","5","Muito boa é fácil de usar","Aplicações fáceis e rápidas e bem fáceis até pra fazer niciantes","0","2025-07-04T16:10:35-07:00","12853227616","6.14.0","0"
"vinicius da costa nunes","https://itunes.apple.com/br/reviews/id149503213","5","Bom","Bom app","0","2025-07-05T12:23:27-07:00","12856546556","6.14.0","0"
"CarvalhoVM25","https://itunes.apple.com/br/reviews/id1805996118","5","Intuitiva e eficiente","Melhor corretora que já usei. Perfeita!","0","2025-07-06T09:21:57-07:00","12859891582","6.14.0","0"
"rdctrading","https://itunes.apple.com/br/reviews/id1394323010","5","Trabalho aqui","Ótimas taxas, 2 anos por aqui, nunca tive problemas","0","2025-07-06T13:55:28-07:00","12860707627","6.14.0","0"
"Gisele Regina","https://itunes.apple.com/br/reviews/id662755325","5","Confiável","Fácil de manusear","0","2025-07-08T11:06:08-07:00","12868146886","6.14.0","0"
"Leo13 Leo13","https://itunes.apple.com/br/reviews/id1739870869","5","Excelente","Very fast and functional","0","2025-07-09T15:20:42-07:00","12872900185","6.15.0","0"
"Carlinha O","https://itunes.apple.com/br/reviews/id435853398","5","Gostando bastante!","Excelente!","0","2025-12-01T16:29:01-07:00","13464530841","6.34.0","0"
"george_soros_jg","https://itunes.apple.com/br/reviews/id836228326","1","Liquidação futuro indevida","Não recomendo, considerando as liquidações indevidas que ocorreram mais de duas vezes na minha conta. Cabe ressaltar que sou investidor profissional e entendo os riscos para afirmar que a liquidação foi incorreta em vários cenários","0","2025-07-09T19:20:59-07:00","12873493423","6.15.0","0"
"Jhonnybail","https://itunes.apple.com/br/reviews/id404229992","5","Nice App","Very easy to use","0","2025-07-10T04:46:45-07:00","12874886873","6.15.0","0"
"ademiraro","https://itunes.apple.com/br/reviews/id571766867","5","Gosto dos futuros do MEXC","Tenho conta a pouco tempo e to gostando bastante, tem muitos bônus pra iniciantes","0","2025-07-10T09:28:36-07:00","12875839866","6.15.0","0"
