"reviewId","userName","userImage","content","score","thumbsUpCount","thumbsDownCount","at","replyContent","repliedAt","appVersion","device","androidOsVersion"
"00a391de-d035-4b20-8c51-0d8c171058f8","Jorge Augusto","https://play-lh.googleusercontent.com/a-/ALV-UjUY8nJS0b9jWYZ40l7pP4jqQirp33vxAn41YJLv0ZnEuBHKWKUe","Os valores dos tokens sumiram, as vezes até os token somem , mais alguem com esse problema??","4","8","0","2024-05-31 16:33:12","","","1.30.1","",""
"28592ce9-0d93-436e-a283-926cf51f834d","Alberto Carrilho","https://play-lh.googleusercontent.com/a-/ALV-UjV_TvfKBTPZW8Yk1Cj4ioy_mFvBa3mGVGVKKGplqzXUKdQdxTCv","Xverse é boa no PC. Agora no meu telemóvel não consigo se quer conectar com a carteira xverse. Diz que não tenho no telemóvel e que tenho que instalar, ou seja não reconhece a carteira. Sabem como resolver este problema?","4","5","0","2024-02-06 16:02:35","","","1.25.1","",""
"151e3507-b00a-47e6-8807-5d947475a06a","Tárcio Pinheiro","https://play-lh.googleusercontent.com/a-/ALV-UjUkepzUJIJU2Zk3ZvGPdeidBN7x5tMnqLL-32PZC8NjkrwAdPgF","Ágil, simples e seguro.","5","4","0","2024-08-24 13:02:37","","","1.34.0","",""
"07e07877-6a74-4e3b-af17-46e825e64469","Arnaldo Marchesotti","https://play-lh.googleusercontent.com/a-/ALV-UjUzs30oICeDo-MlmPiWgyBtn0RddU0L12Rwt_xXopsOkesB2Yo3","facilidade e solução para operacionalização de runes. não parem de evoluir essa ferramenta.","5","4","0","2024-11-24 19:06:29","Arnaldo Marchesotti, thank you for your positive feedback. The team will keep on innovating!","2024-12-01 21:44:25","1.39.3","",""
"ae30985f-10d9-4103-b8e3-eed7dd0a2827","Endrell Merlin","https://play-lh.googleusercontent.com/a-/ALV-UjVfJcLODL6xzFBALkELcKhxIc2YnblySmz6EuKml4S05QYRh76sMg","Problema ao sacar BTC! A transação foi confirma mas não foi creditada na rede da corretora, ou seja, zerou meu saldo mas não recebi os btcs.","1","2","0","2024-11-17 15:59:22","Hey Endrell Merlin, we're sorry to see you are experience an issue with a withdraw. Please reach out to our support team via https://support.xverse.app/ or by using the 'Support Center' button inside the app settings.","2024-11-19 00:42:54","1.39.1","",""
"a2ee69dc-e2cd-4bc0-9bba-4cd62e7372d3","Gabriel Antonio","https://play-lh.googleusercontent.com/a-/ALV-UjX1qFh2DCP2Is1SYMH3ilvZ3exnuAUoEzL5kfS59mZR3w4nbBI","Coloquei um montante para fazer Stake, porem agora quando quero verificar o progresso do mesmo, a tela de Stake fica totalmente Branca eternamente e não consigo acompanhar o progresso .","3","2","0","2023-12-15 09:26:06","","","1.23.0","",""
"912439ed-508b-4eff-bf64-38bb6a793f4d","Bruno Lopes","https://play-lh.googleusercontent.com/a/ACg8ocKmDk8dw4oI5C2606mLhGBLBMRfDVUNkacz6MbBXYSQ5m8yZg=mo","estou me dando super bem. fácil","5","2","0","2024-06-05 00:10:36","","","1.30.1","",""
"7d12a441-6dc9-4a19-a62e-a86fa34641b5","Eduardo Chaves","https://play-lh.googleusercontent.com/a/ACg8ocLE4_EgSTJZP8P2RthGiQtINaX8HyZxlInMahFZANvGhKJ5Zg=mo","Muito prática para transacionar Runes e armazenar Runes.","5","2","0","2024-11-12 22:56:35","Eduardo Chaves, we're glad to hear of your positive experience!","2024-11-19 00:48:26","1.38.2","",""
"1e4c644f-50cc-4465-8719-e3fc882bfc3d","Angry Cat","https://play-lh.googleusercontent.com/a-/ALV-UjUdaKEDWjyj5KHZgStglIwlQIQwPnJqxcmvVyQ2RQspMzzL0MLp","A wallet funciona bem, apesar de ser lenta. A ideia do projeto é interessante, as taxas de transações são baixas, mas o que desabona todo projeto e o coloca em patamares inferiores é a praticidade da moeda. As transações são extremamente lentas. Movimentei, para teste, o mínimo de 100 STX para o staking. Demorou umas 5 h só pra entrar na fila do ""proximo ciclo"". Quanto tireir do stake foi até rápido, mas quando fui tranferir pra uma Dex e fazer swap demorou 7 h. Pqp tmc com essa 💩. Tchaubrigado","1","2","0","2022-11-07 15:01:33","Oi Bruno! As transações de Stacks dependem de confirmações de blocos Bitcoin (10-30min), logo mais rápidas com atualizações de Stacks. O empilhamento acontece em ciclos de 2 semanas: assim que sua transação de delegação for confirmada (10-30 minutos), você será registrado para o próximo ciclo de empilhamento. E-mail de suporte: support@xverse.app.","2022-11-07 13:44:01","1.8.1","",""
"2686e915-d243-4acc-a246-93b3db723794","Marcos Melo","https://play-lh.googleusercontent.com/a-/ALV-UjWAgfv-YLNMHAVgtGjAeb3nGlyJ_gswiCHP_H-GBCec9bfOHiYLKw","top","5","1","0","2023-03-26 11:41:05","olá Marcos Melo, Estamos entusiasmados por saber que está a desfrutar de Xverse, uma vez que estamos a trabalhar na melhoria contínua na construção de uma carteira Bitcoin de fácil utilização. Esperamos que se junte à comunidade Xverse na Discord e no Twitter, à medida que lançamos actualizações mais excitantes.","2023-04-12 20:58:35","1.13.2","",""
