"author","authorUri","rating","title","content","votes","date","id","version","voteSum"
"fabiojgomes","https://itunes.apple.com/br/reviews/id185501532","1","Dificuldade para sacar valores","Muito facil de depositar, porém na hora de sacar, mesmo atendendo aos critérios de valor mínimo e gás, não deixa o saque acontecer e pede para contatar o suporte. Já foi boa, hoje é pedir para ter prejuízo.","0","2025-11-26T10:28:22-07:00","13444056897","25.46.14","0"
"Vanitasqwl","https://itunes.apple.com/br/reviews/id1860021845","5","Vanitas","Muito boa amei","0","2025-11-25T04:37:00-07:00","13439130779","25.46.13","0"
"EduLP1995","https://itunes.apple.com/br/reviews/id145344625","5","Fácil de usar","Muito intuitivo! Gostei!","0","2025-05-01T11:14:04-07:00","12607786536","25.18.10","0"
"dj Ronny moreno","https://itunes.apple.com/br/reviews/id1434168481","5","Bem prático gostei","Até agora à mais prática","0","2025-05-16T08:17:34-07:00","12662743523","25.20.16","0"
"Dangelord1","https://itunes.apple.com/br/reviews/id1431087735","5","Top","Excelente","0","2025-05-22T22:02:15-07:00","12687221552","25.20.17","0"
"wilou franco","https://itunes.apple.com/br/reviews/id322363469","1","Péssimo","Uma das piore carteira que eu já utilizei, coloquei minhas criptomoedas nessa carteira e não consigo tirar","0","2025-05-24T09:09:22-07:00","12693128276","25.20.17","0"
"Gustavo09423","https://itunes.apple.com/br/reviews/id1742057229","5","Very good","Excelent","0","2025-06-10T12:58:59-07:00","12759368660","25.24.5","0"
"Nada a reclamar por enquanto","https://itunes.apple.com/br/reviews/id1624927074","5","Por enquanto satisfatório","Até agora excelente, mais d 1 ano sem me dar problemas , até aqui é segura 🫡🎖️","0","2025-06-11T09:57:20-07:00","12762645521","25.24.5","0"
"Naza.j","https://itunes.apple.com/br/reviews/id254030465","5","Muito bom.","Muito bom app, porém o processo de sincronização e restauração estão idênticos. Só aparece a opção de leitura do QR code, mas não exibe o QR.","0","2025-06-12T17:22:07-07:00","12767609810","25.24.5","0"
"Douglaspl05","https://itunes.apple.com/br/reviews/id1466375610","1","Taxas Imensas e Muita Burocracia","Sinceramente a pior wallet que já vi na minha vida, pra transferir valores pra ela é cobrada uma taxa absurda, pra sacar de lá então é maior ainda, qualquer conversão de token/cripto precisa de ter um saldo mínimo de outra cripto derivada dela, e nisso que vc deposita vem as taxas absurdas de depósito, conversão e saque, tudo bem ter taxas, a empresa precisa lucrar, mas quase 30% do valor movimentado é putaria, vou perder um dinheiro absurdo pra sacar minhas criptos daí, mas nunca mais uso essa wallet novamente e não indico a ninguém","0","2025-06-21T12:43:29-07:00","12801515363","25.24.5","0"
"Non ducor duco","https://itunes.apple.com/br/reviews/id358317695","1","Abusive taxes to buy and sell","The taxes are more than 2% if you need to buy or sell, very disappointed with that.","0","2025-07-29T02:31:22-07:00","12949859419","25.28.7","0"
"MestreArqueiro","https://itunes.apple.com/br/reviews/id1670460259","5","Auto custodian","Without a doubt, one of the best wallets on the market, evolving every day toward the future of blockchain 📲","0","2025-08-01T04:41:14-07:00","12962652094","25.31.13","0"
"Lann1%#","https://itunes.apple.com/br/reviews/id1703138660","5","Aplicativo","Excelente interface e várias crípton e tokens","0","2025-08-21T22:01:15-07:00","13045808497","25.31.13","0"
"Lion santos","https://itunes.apple.com/br/reviews/id767617366","5","Muito bom sim","Legal","0","2025-08-26T14:13:39-07:00","13064174117","25.31.13","0"
"Lucasmauricio","https://itunes.apple.com/br/reviews/id1830862976","5","Meu app nao abre mais com meu dinheiro","Nao consigo mexer mais nessa atualizao alguem ai ta igual eu","0","2025-09-11T08:50:33-07:00","13125184522","25.37.14","0"
"RykoFps","https://itunes.apple.com/br/reviews/id143307114","5","No problema at moment","Everthing ok","0","2025-10-28T06:57:31-07:00","13325268990","25.43.16","0"
"Nuno Filipe777","https://itunes.apple.com/br/reviews/id1807080681","5","Nice","Very good app","0","2025-10-31T10:09:51-07:00","13338741870","25.43.16","0"
"Paraty8","https://itunes.apple.com/br/reviews/id1573767512","2","Taxas altas","As taxas são muito altas no geral, você tem sempre que estar colocando crédito em Ethereum … vou mudar de carteira","0","2025-11-14T06:09:59-07:00","13396793880","25.46.10","0"
"fuçadinho2025","https://itunes.apple.com/br/reviews/id815714134","5","Fácil de usar","Extremamente fácil de usar","0","2025-11-20T07:58:14-07:00","13420673476","25.46.11","0"
"nandozaping","https://itunes.apple.com/br/reviews/id203800012","5","Excelente","Essa atualização deixou mais textura nas linhas;
Ficou muito bom! Deu mais vida ao app!
PARABÉNS.","0","2025-04-09T15:32:03-07:00","12524116677","25.15.5","0"
