"author","authorUri","rating","title","content","votes","date","id","version","voteSum"
"Ithalo@1","https://itunes.apple.com/br/reviews/id1543724075","1","Pay","Abri a conta fiz todo o processo de configuraçao, finalizei as medidas de segurança e no final n tive acesso ao cartao. Minha versao do ios esta atualizada e o app tbm, porem no app n aparece a opçao “pay” pra eu poder configurar e esta ativando o msm!","1","2025-11-17T04:39:46-07:00","13408812288","6.145.0","1"
"Octtata","https://itunes.apple.com/br/reviews/id200428604","5","Fácil se usar","Excelente aplicativo e o suporte melhor ainda. Parabéns e obrigado","0","2025-11-21T15:14:13-07:00","13425622617","6.146.0","0"
"NetoGuerra","https://itunes.apple.com/br/reviews/id22112742","1","Mercenaries","They don’t list free projects","0","2025-09-09T04:53:20-07:00","13116881015","6.135.1","0"
"ViniciusBatis","https://itunes.apple.com/br/reviews/id914762947","1","Péssimo","App podre. Só dá erro de rede. Quem desenvolveu esse app merece um Oscar de pior programador","0","2025-08-08T20:53:21-07:00","12993560205","6.131.0","0"
"Eduardoasfr","https://itunes.apple.com/br/reviews/id1054099935","1","App trava do nada!","Péssimo, deixa a desejar qdo realmente precisa! Nota zero!","0","2025-08-13T20:34:57-07:00","13013282314","6.132.0","0"
"Jean_Jean_J","https://itunes.apple.com/br/reviews/id1658589240","4","A","A","0","2025-08-19T07:33:26-07:00","13035573706","6.132.1","0"
"Andreazevedophoto","https://itunes.apple.com/br/reviews/id354643745","3","Bom, porém…","Aplicativo é ótimo, intuitivo,
Mas as taxas são impraticáveis.","0","2025-09-03T10:02:07-07:00","13094694172","6.135.0","0"
"nestordefranca","https://itunes.apple.com/br/reviews/id1576209542","1","Nada em Português!","Não recomendo, sou usuário e nas últimas atualizações foi removido o idioma português do aplicativo OKX. Se não falam a minha língua não são dignos de receberem o meu dinheiro!","0","2025-09-05T09:09:51-07:00","13102235692","6.135.1","0"
"VitiFly","https://itunes.apple.com/br/reviews/id1387353563","5","Extremamente fácil de usar","Excelente aplicativo","0","2025-09-08T03:19:50-07:00","13112873771","6.135.1","0"
"DOG DA MASSA","https://itunes.apple.com/br/reviews/id1262664265","1","$DOG","Why no more $DOG on futures? Wen spot?","0","2025-09-08T20:26:28-07:00","13115725775","6.135.1","0"
"Thiago…….,.","https://itunes.apple.com/br/reviews/id1838332415","5","O melhor app do brazilllll","Gostei muito do app, só não é boa a parte que é meio impossível colocar tudo em português","0","2025-09-30T15:31:21-07:00","13206570996","6.139.0","0"
"Cezar Martins de Almeida","https://itunes.apple.com/br/reviews/id424546319","1","Péssimo","Baixei o app e fiz todo o cadastro. Comprei stable coins pra usar no cartão deles. Porém , o cartão nao aparece disponível no app.","0","2025-11-19T10:24:17-07:00","13417433083","6.146.0","0"
"ejabjosue","https://itunes.apple.com/br/reviews/id1090745509","5","Gosto muito porém…","Na última atualização não consigo mais mudar o saldo pra ver em Brl ou em btc pelo app, antes tinha a opção ao lado do saldo.","0","2025-10-01T17:30:34-07:00","13211442238","6.139.0","0"
"Sem palavras és","https://itunes.apple.com/br/reviews/id1846930910","1","Pior aplicativo pra fazer investimento!!!","Eles te vendem mais caro e quando vc vai sacar, o preço é sempre menor!!! Coisa de mil reais pra mais","0","2025-10-22T02:08:57-07:00","13298673846","6.141.0","0"
"0xVanDog","https://itunes.apple.com/br/reviews/id1789077162","5","Última atualização está um desastre","Esta última atualização está uma desgraça não se consegue manipular as “listas de interesse” a pesquisa não reconhece nada espero que seja defeito do meu aparelho para bem da OKX","0","2025-11-03T06:18:51-07:00","13351311776","6.143.0","0"
"AendersonM","https://itunes.apple.com/br/reviews/id1690931645","1","Reclamação","Olá, tudo bem?

Baixei o aplicativo da OKX e concluí meu cadastro normalmente, porém notei que a função de negociação no Mercado Futuro Perpétuo não está disponível para mim. Já revisei as configurações da conta, verificação de identidade e demais requisitos, mas a opção ainda não aparece habilitada.

Peço, por gentileza, que verifiquem o status da minha conta e me orientem sobre o que é necessário para liberar o acesso ao Mercado Futuro Perpétuo, pois essa funcionalidade é essencial para as operações que desejo realizar na plataforma.

Aguardo retorno e agradeço pela atenção.

Atenciosamente,
[AENDERSON]","0","2025-11-09T01:37:16-07:00","13375667206","6.144.0","0"
"Lumeapp","https://itunes.apple.com/br/reviews/id1474254047","1","Não baixem!","Totalmente inútil , taxas aplicadas fora do padrão , perdi 100 dólares , depois do cartão não servir , tentei enviar de volta pra Binance , sumiram com meu $","0","2025-11-12T22:49:40-07:00","13391594430","6.145.0","0"
"MssJua","https://itunes.apple.com/br/reviews/id1856881146","2","Mais ou menos","Poderia ser melhor se tivesse ordens escalonadas como a Bybit e a Bitget e se tivesse todos os vídeos tutoriais em português.","0","2025-11-16T09:47:59-07:00","13405934999","6.145.0","0"
"Maq81","https://itunes.apple.com/br/reviews/id256650580","1","Não funciona","O app simplesmente não funciona. Dá erro na rede e não consigo acessar de jeito nenhum","0","2025-11-19T05:22:23-07:00","13416488210","6.146.0","0"
"Klepperjason","https://itunes.apple.com/br/reviews/id116155049","5","Muito Bom!","App extremamente intuitivo e rápido. Parabens!","0","2025-07-28T07:55:33-07:00","12946859585","6.129.1","0"
