rank,titulo,autores,autores_lista,ano,link,resumo,citacoes,referencias,venue,fields_of_study,publication_types,publication_date,journal,paper_id,external_ids,is_open_access,open_access_pdf,termo,tentativa
1,The 2023-2026 Hospice and Palliative Nurses Association Research Agenda.,"Heather Coats, Katherine Doyon, M. Isaacson, Djin L. Tay, W. Rosa, M. Mayahara, Jeannette Kates, Erica Frechman, P. Wright, J. Boyden","['Heather Coats', 'Katherine Doyon', 'M. Isaacson', 'Djin L. Tay', 'W. Rosa', 'M. Mayahara', 'Jeannette Kates', 'Erica Frechman', 'P. Wright', 'J. Boyden', 'Elizabeth G Broden', 'P. Hinds', 'Richard James', 'S. Keller', 'Susan E. Thrane', 'Kim Mooney-Doyle', 'S. Sullivan', 'Jiayun Xu', 'J. Tanner', 'Maria Natal']",2023,https://www.semanticscholar.org/paper/c885d89bd007fd78c42db0ad5bebede5022615ff,"The Hospice and Palliative Nursing Association established the triannual research agenda to (a) provide focus for researchers to conduct meaningful scientific and quality improvement initiatives and inform evidence-based practice, (b) guide organizational funding, and (c) illustrate to other stakeholders the importance of nursing research foci. HPNA Research Agendas are developed to give direction for future research to continue advancing expert care in serious illness and ensure equitable delivery of hospice and palliative care.",6,160,Journal of Hospice and Palliative Nursing,Medicine,JournalArticle,2023-02-27,Journal of hospice and palliative nursing : JHPN : the official journal of the Hospice and Palliative Nurses Association,c885d89bd007fd78c42db0ad5bebede5022615ff,"{""DOI"": ""10.1097/NJH.0000000000000935"", ""CorpusId"": 257218049, ""PubMed"": ""36843048""}",True,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11615779,natal 2026,1
2,Optimalisasi Keselamatan Transportasi melalui Program Mikro Magang di Posko Natal dan Tahun Baru,"Siti Shofiah, Brian Adam Dwi Yulio, Farisy Yanuar W P, Haidar Dzaki, Iffan Bagus Dwi Saputra, Jihan Luis","['Siti Shofiah', 'Brian Adam Dwi Yulio', 'Farisy Yanuar W P', 'Haidar Dzaki', 'Iffan Bagus Dwi Saputra', 'Jihan Luis']",2025,https://www.semanticscholar.org/paper/2047a838a860c8785af2980e5e9ba54efcec95b1,"Penelitian ini menganalisis pola pergerakan kendaraan dan faktor risiko kecelakaan selama periode Natal dan Tahun Baru (Nataru) 2024/2025 di beberapa kota utama di Jawa, serta mengevaluasi peran program mikro magang di posko pengamanan dalam upaya meningkatkan keselamatan transportasi. Pendekatan kuantitatif digunakan untuk menganalisis volume lalu lintas, komposisi kendaraan, kejadian kecelakaan, serta efektivitas intervensi keselamatan. Sepeda motor mendominasi komposisi kendaraan di Kota Semarang (59,3%), dengan lonjakan volume signifikan saat arus mudik (37,2%) dan arus balik (28,5%). Terdapat korelasi kuat antara volume sepeda motor dan tingkat kecelakaan (r = 0,72, p < 0,01), yang diperkuat oleh faktor risiko seperti waktu malam (r = 0,61) dan kondisi cuaca (r = 0,56). Ditemukan pula variasi regional, dengan dominasi sepeda motor di Sragen dan Banyumas (±65%) serta kendaraan kecil di Blitar (75%). Proyeksi Nataru 2025/2026 menunjukkan kenaikan volume sebesar 15%. Program mikro magang terbukti meningkatkan kesadaran keselamatan pengguna jalan sebesar 42% dan mendukung pendekatan integratif antara rekayasa lalu lintas dan edukasi keselamatan.",0,0,JURPIKAT (Jurnal Pengabdian Kepada Masyarakat),None,JournalArticle,2025-07-28,JURPIKAT (Jurnal Pengabdian Kepada Masyarakat),2047a838a860c8785af2980e5e9ba54efcec95b1,"{""DOI"": ""10.37339/jurpikat.v6i3.2409"", ""CorpusId"": 280582914}",False,,natal 2026,1
3,"Water Quality Index and the quality of freshwater resource uMhlathuze river, Kwazulu-Natal, South Africa: A Review","Cimanga Lukusa, Viswanadha Srirama Rajasekhar Pullabhotla","['Cimanga Lukusa', 'Viswanadha Srirama Rajasekhar Pullabhotla']",2025,https://www.semanticscholar.org/paper/5df30c49ccf4f8133f827f4d182043d7133aff00,"Abstract uMhlathuze River in KwaZulu-Natal, South Africa, is a critical freshwater resource supporting industrial, agricultural, and domestic activities. However, its water quality is under threat from various anthropogenic pressures. This review synthesises existing literature to assess the river’s water quality, focusing on key contaminants, spatial and temporal trends, ecological impacts, and socio-economic implications. Key pollutants identified include elevated levels of nitrates (>10 mg/L), phosphates (>2 mg/L), heavy metals such as lead (Pb > 0.01 mg/L) and chromium (Cr > 0.05 mg/L) (Nsibande et al. Afr. J. Aquat. Sci. 2024, 262–274, 3.), and microbial contaminants with faecal coliforms exceeding 1,000 CFU/100 mL (Mthembu et al., Afr. J. Microbiol. Res. 2012, 2020–2026, 9.). Seasonal variations exacerbate these issues, with higher pollutant loads observed during rainy periods due to increased runoff from industrial, agricultural, and urban areas. Figures illustrating contaminant trends by season or location could complement these findings. The degraded water quality has led to declines in biodiversity, including fish and aquatic macroinvertebrates, and poses significant public health risks for communities reliant on the river for drinking water and sanitation. Maps of pollution hotspots and biodiversity loss would aid in visualizing these impacts. Key knowledge gaps include inconsistent sampling methodologies, insufficient long-term data, and the absence of a region-specific Water Quality Index (WQI). This review highlights the need for standardised WQI frameworks, advanced monitoring technologies, and pollution tracking mechanisms to address these challenges. Additionally, socio-economic studies and community-based conservation initiatives are recommended to mitigate pollution impacts and improve water resource sustainability. These findings serve as a foundation for targeted research and policy actions to protect and sustainably manage the uMhlathuze River system.",0,69,Pure and Applied Chemistry,None,"JournalArticle, Review",2025-03-17,Pure and Applied Chemistry,5df30c49ccf4f8133f827f4d182043d7133aff00,"{""DOI"": ""10.1515/pac-2024-0345"", ""CorpusId"": 277075877}",False,,natal 2026,1
4,Is social media spawning digital narcissism? : a case study of KwaZulu-Natal digital millennials,Waheeda Peters,['Waheeda Peters'],,https://www.semanticscholar.org/paper/ad5fc3449de4f248b7da7602a3d70d60e28da36b,"In 2021, 60.71% of South Africans accessed the Internet, most of them doing so via mobile devices, and a growth to 67.8% is projected for 2026. Given KwaZulu-Natal’s place in South Africa’s socio-political and socioeconomic life, and considering the province’s high population of young Internet-savvy people, it becomes pertinent to understand how the Internet, specifically social media usage, impacts on their propensity to slide, wittingly or unwittingly, into digital narcissism. The aim of the study was to explore social media usage amongst millennials of the Durban University of Technology, Durban, KwaZulu-Natal Province, to determine the potential impact of social media usage on digital narcissism. For this qualitative study, the researcher adopted the behaviourist research paradigm, which is interpretive. An inductive research approach was followed, and two strategies were employed: case study and survey. The target population comprised four groups: (i) millennials of all races 18–34 years of age in the KwaZulu-Natal Province; (ii) parents of millennials; (iii) social media experts; and (iv) psychology experts using social media tools. Primary data were collected through interviews and secondary data were gathered from existing literature. The data were analysed using thematic analysis. Through the lenses of each group of participants, five main themes were derived: (i) the impact of digital technology on millennials; (ii) social media and Internet usage; (iii) the impact of social media on millennials; (iv) the impact of social influencers on their followers; and (v) the impact of Covid-19 on social media. Each of these five themes was sub-divided into sub themes derived from the data analysis. Through colour coding and key concepts/elements derived from findings in the literature review and from the themes/sub-themes that emerged during the data analysis of this study, a Framework for Millennials and Parents on Social Media Usage and Possible Digital Narcissism Detection is proposed to provide visual support to millennials and parents of millennials that enables them to detect potential social media usage problems and then self correct.",1,0,,None,Review,,,ad5fc3449de4f248b7da7602a3d70d60e28da36b,"{""DOI"": ""10.51415/10321/4920"", ""CorpusId"": 260655876}",True,https://openscholar.dut.ac.za/bitstream/10321/4920/3/PETERS_W_2023.pdf,natal 2026,1
5,Global adoption of 6-month drug-resistant TB regimens: Projected uptake by 2026,"Aashta Gupta, S. Juneja, Victor Babawale, Nurov Rustam Majidovich, N. Ndjeka, Phuong Thi Mai Nguyen, Parpieva Nargiza Nusratovna, David Robert Omanito, Tiffany Tiara Pakasi, Yana Terleeva","['Aashta Gupta', 'S. Juneja', 'Victor Babawale', 'Nurov Rustam Majidovich', 'N. Ndjeka', 'Phuong Thi Mai Nguyen', 'Parpieva Nargiza Nusratovna', 'David Robert Omanito', 'Tiffany Tiara Pakasi', 'Yana Terleeva', 'A. Toktogonova', 'Yasir Waheed', 'Z. Myint', 'Yanlin Zhao', 'Suvanand Sahu']",2024,https://www.semanticscholar.org/paper/6778328b818072347d4676c6b5d89695080d3134,"Background The WHO has issued a call to action urging countries to accelerate the rollout of new WHO-recommended shorter all-oral treatment regimens for drug-resistant TB (DR-TB), which remains a public-health crisis. The all-oral, 6-month BPaL/M regimen comprises 3–4 drugs: pretomanid used in combination with bedaquiline and linezolid, with or without moxifloxacin. This regimen has been recommended by the WHO for use in DR-TB patients instead of ≥9-month (up to 24-month) regimens. This study aims to project this regimen’s use, along with its components bedaquiline, pretomanid and linezolid, and other treatments for DR-TB globally through 2026. It is intended to guide global health stakeholders in planning and budgeting for DR-TB interventions. Projected usage could help estimate cost of the individual components of DR-TB regimens over time. Methods Semi-structured interviews were conducted with national TB programme participants in key countries to gather intelligence on established plans and targets for use of various DR-TB treatment regimens from 2023 to 2026. These data informed development of projections for the global use of regimens and drugs. Results Consistent global growth in the use of shorter regimens in DR-TB treatment was shown: BPaLM reaching 126,792 patients, BPaL reaching 43,716 patients, and the 9-11-month all-oral bedaquiline-based regimen reaching 13,119 patients by 2026. By 2026, the longer all-oral regimen is projected to be used by 19,262 patients, and individualised treatment regimens by 15,344 patients. Conclusion The study shows BPaL/M will be used in majority of DR-TB patients by 2024, reaching 78% by 2026. However, national efforts to scale-up, case-finding, monitoring, drug-susceptibility testing, and implementation of new treatments will be essential for ensuring they are accessible to all eligible patients in the coming years and goals for ending TB are met. There is an urgent need to engage communities in capacity building and demand generation.",17,15,PLoS ONE,Medicine,JournalArticle,2024-01-05,PLOS ONE,6778328b818072347d4676c6b5d89695080d3134,"{""PubMedCentral"": ""10769048"", ""DOI"": ""10.1371/journal.pone.0296448"", ""CorpusId"": 266786085, ""PubMed"": ""38180980""}",True,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0296448&type=printable,natal 2026,1
6,DEVELOPMENT STRATEGY OF NEW UZBEKISTAN FOR 2022-2026,"Akhmedov Khamdam Alikulovich, Zebo Tulkinova","['Akhmedov Khamdam Alikulovich', 'Zebo Tulkinova']",2023,https://www.semanticscholar.org/paper/f8badecaa2ed13cabfe6bdc30a31b08b95189bec,"In the framework of the Strategy of Actions on the five priority directions of the development of the Republic of Uzbekistan in 2017-2021, during the past period, about 300 laws and more than 4 thousand decisions of the President of the Republic of Uzbekistan aimed at the fundamental reform of all spheres of state and social life were adopted",52,0,The American Journal of Social Science and Education Innovations,None,JournalArticle,2023-05-01,The American Journal of Social Science and Education Innovations,f8badecaa2ed13cabfe6bdc30a31b08b95189bec,"{""DOI"": ""10.37547/tajssei/volume05issue05-02"", ""CorpusId"": 258596049}",True,https://www.theamericanjournals.com/index.php/tajssei/article/download/4070/3790/4426,natal 2026,1
7,"One Health Joint Plan of Action, 2022–2026",W. Organization,['W. Organization'],2022,https://www.semanticscholar.org/paper/a3d932fe62dec9c3bf720629c4e24cff6913d669,"Following the 27th Tripartite Annual Executive Meeting, the FAO Programme Committee in its 130th session, March 2021, requested the joint development, by the Tripartite (FAO/WHO/WOAH) and others, of a strategy and action plan to prevent future zoonotic pandemics through the One Health approach. The One Health Joint Plan of Action (OH JPA) is intended to guide the four organizations of the Quadripartite to work together on One Health with the aim of supporting their Members to build One Health capacities. It provides a framework for action and proposes a set of activities that the four organizations can offer together to enable countries to advance and scale up One Health in managing human, animal, plant and environment health threats. The framework uses a One Health approach to strengthen collaboration, communication, advocacy, and coordination equally across all sectors responsible for addressing health concerns at the human-animal-plant-environment interface.",230,0,Bulletin de l OIE,Medicine,None,2022-10-14,Bulletin de l'OIE,a3d932fe62dec9c3bf720629c4e24cff6913d669,"{""DOI"": ""10.4060/cc2289en"", ""CorpusId"": 252939111}",False,,natal 2026,1
8,Marketing/entrepreneurship interface research priorities (2023–2026),"Nasser Alqahtani, Can Uslay","['Nasser Alqahtani', 'Can Uslay']",2022,https://www.semanticscholar.org/paper/5aae59148d6538661c88abcea27e2bc54e35b17b,"
Purpose
To update the research priorities, this study aims to propose a roadmap to researchers who are interested in the marketing/entrepreneurship interface (MEI) and stimulate research by providing an agenda through a synthesis of the collective wisdom of the scholars in the field.


Design/methodology/approach
A-multi-stage data collection using questionnaires and interviews is used in this study. Multiple rounds of interviews spanning three Global Research Conferences on Marketing and Entrepreneurship (GRCME), followed by a survey seeking input from the attendees of these events and the members of the Entrepreneurial Marketing SIG of the American Marketing Association, were used in developing the proposed research priorities.


Findings
A comprehensive list of research priorities was developed categorizing them in terms of importance and level of interest. The list is a product of the collective wisdom of the field, distilled from several rounds of interviews and from a thorough analysis of the participants’ input to a comprehensive survey.


Originality/value
The current research provides scholars with MEI research priorities for 2023–2026.
",21,59,Journal of Research in Marketing and Entrepreneurship,None,Review,2022-08-22,Journal of Research in Marketing and Entrepreneurship,5aae59148d6538661c88abcea27e2bc54e35b17b,"{""DOI"": ""10.1108/jrme-11-2021-0151"", ""CorpusId"": 251677214}",False,,natal 2026,1
9,"Trends in Dental Implant Use in the U.S., 1999–2016, and Projections to 2026","H. Elani, Jacqueline R. Starr, Jacqueline R. Starr, J. D. D. Silva, German O Gallucci","['H. Elani', 'Jacqueline R. Starr', 'Jacqueline R. Starr', 'J. D. D. Silva', 'German O Gallucci']",2018,https://www.semanticscholar.org/paper/a85719750aecc462b3da153e4b44862ab81b09d8,"Dental implants have become an increasingly popular treatment choice for replacing missing teeth. Yet, little is known about the prevalence and sociodemographic distribution of dental implant use in the United States. To address this knowledge gap, we analyzed data from 7 National Health and Nutrition Examination Surveys from 1999 to 2016. We estimated dental implant prevalence among adults missing any teeth for each survey period overall as stratified by sociodemographic characteristics. We calculated absolute and relative differences from 1999–2000 to 2015–2016 and fit logistic regression models to estimate changes over time. We also used multivariable logistic regression to estimate independent associations of sociodemographic covariates with the presence of any implant. We projected the proportion of patients treated with dental implants into the year 2026 under varying assumptions of how the temporal trend would continue. There has been a large increase in the prevalence of dental implants, from 0.7% in 1999 to 2000 to 5.7% in 2015 to 2016. The largest absolute increase in prevalence (12.9%) was among individuals 65 to 74 y old, whereas the largest relative increase was ~1,000% among those 55 to 64 y old. There was an average covariate-adjusted increase in dental implant prevalence of 14% per year (95% CI, 11% to 18%). Having private insurance (vs. none or public insurance) or more than a high school education (vs. high school or less) was each associated with a 2-fold increase in prevalence, with an almost 13-fold (95% CI, 8 to21) increase for older adults. Dental implant prevalence projected to 2026 ranged from 5.7% in the most conservative scenario to 23% in the least. This study demonstrates that dental implant prevalence among US adults with missing teeth has substantially increased since 1999. Yet access overall is still very low, and prevalence was consistently higher among more advantaged groups.",416,24,Journal of dentistry research,Medicine,"JournalArticle, Review",2018-08-03,Journal of Dental Research,a85719750aecc462b3da153e4b44862ab81b09d8,"{""MAG"": ""2886317930"", ""DOI"": ""10.1177/0022034518792567"", ""CorpusId"": 51910934, ""PubMed"": ""30075090""}",True,https://europepmc.org/articles/pmc6854267?pdf=render,natal 2026,1
10,Constraining Black Hole Natal Kicks with Astrometric Microlensing,"J. Andrews, V. Kalogera","['J. Andrews', 'V. Kalogera']",2022,https://www.semanticscholar.org/paper/317435c7fed6e72db957123f147e6f2e86eb86d7,"Multiple pieces of evidence suggest that neutron stars receive large kicks when formed from the remnant of a collapsing star. However, the evidence for whether black holes (BHs) receive natal kicks is less clear, reliant on weak constraints from the analysis of BH X-ray binaries and massive runaway and walkaway stars. Here we show, for the first time, that recent microlensing detections offer a new method for measuring the kicks BHs receive at birth. When a BH is identified through both photometric and astrometric microlensing and when the lensed star has a known distance and proper motion, the mass, distance, and proper motion of the BH can be determined. We study the runaway velocities for components of eccentric binaries disrupted during a supernova (SN), finding the peculiar velocity correlates strongly with the kick a BH received at birth, typically within 20%, even when the natal kick is smaller than the orbital velocity. Therefore, by measuring the peculiar velocity of a BH or other compact object that formed from a binary which disrupted during core collapse, we are in effect measuring the natal kick that object received. We focus on MOA-2011-BLG-191/OGLE-2011-BLG-0462, an isolated, single BH detected by microlensing, and consider a range of possible formation scenarios, including its formation from the disruption of a binary during a SN event. We determine that MOA-2011-BLG-191/OGLE-2011-BLG-0462 has a Milky Way orbit consistent with a thick-disk population, but if it was formed within the kinematic thin disk it received a natal kick ≲100 km s−1.",27,62,Astrophysical Journal,Physics,None,2022-03-29,The Astrophysical Journal,317435c7fed6e72db957123f147e6f2e86eb86d7,"{""ArXiv"": ""2203.15156"", ""DOI"": ""10.3847/1538-4357/ac66d6"", ""CorpusId"": 247778998}",True,https://iopscience.iop.org/article/10.3847/1538-4357/ac66d6/pdf,natal 2026,1
